ViewIndex,FOV1,FOV2,FOV3,FOV4,PositionX,PositionY,PositionZ,QuaternionX,QuaternionY,QuaternionZ,QuaternionW,GazePosX,GazePosY,GazePosZ,GazeQX,GazeQY,GazeQZ,GazeQW,Timestamp
0,-0.942,0.698,-0.942,0.733,-0.866,0.161,0.002,0.133,-0.012,-0.023,0.991,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1,-0.698,0.942,-0.942,0.733,-0.823,0.159,0.003,0.133,-0.012,-0.023,0.991,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7
0,-0.942,0.698,-0.942,0.733,-0.866,0.161,0.002,0.133,-0.012,-0.023,0.991,0.0,0.0,0.0,0.0,0.0,0.0,1.0,13
1,-0.698,0.942,-0.942,0.733,-0.823,0.159,0.003,0.133,-0.012,-0.023,0.991,0.0,0.0,0.0,0.0,0.0,0.0,1.0,21
0,-0.942,0.698,-0.942,0.733,-0.866,0.161,0.002,0.133,-0.013,-0.023,0.991,0.0,0.0,0.0,0.0,0.0,0.0,1.0,27
1,-0.698,0.942,-0.942,0.733,-0.823,0.159,0.003,0.133,-0.013,-0.023,0.991,0.0,0.0,0.0,0.0,0.0,0.0,1.0,34
0,-0.942,0.698,-0.942,0.733,-0.866,0.161,0.002,0.133,-0.013,-0.023,0.991,0.0,0.0,0.0,0.0,0.0,0.0,1.0,41
1,-0.698,0.942,-0.942,0.733,-0.823,0.159,0.003,0.133,-0.013,-0.023,0.991,0.0,0.0,0.0,0.0,0.0,0.0,1.0,48
0,-0.942,0.698,-0.942,0.733,-0.866,0.161,0.002,0.133,-0.013,-0.023,0.991,0.0,0.0,0.0,0.0,0.0,0.0,1.0,55
1,-0.698,0.942,-0.942,0.733,-0.823,0.158,0.003,0.133,-0.013,-0.023,0.991,0.0,0.0,0.0,0.0,0.0,0.0,1.0,62
0,-0.942,0.698,-0.942,0.733,-0.866,0.161,0.002,0.133,-0.013,-0.023,0.991,0.0,0.0,0.0,0.0,0.0,0.0,1.0,69
1,-0.698,0.942,-0.942,0.733,-0.823,0.158,0.003,0.133,-0.013,-0.023,0.991,0.0,0.0,0.0,0.0,0.0,0.0,1.0,76
0,-0.942,0.698,-0.942,0.733,-0.866,0.161,0.002,0.133,-0.014,-0.023,0.991,0.0,0.0,0.0,0.0,0.0,0.0,1.0,83
1,-0.698,0.942,-0.942,0.733,-0.823,0.158,0.003,0.133,-0.014,-0.023,0.991,0.0,0.0,0.0,0.0,0.0,0.0,1.0,90
0,-0.942,0.698,-0.942,0.733,-0.866,0.161,0.002,0.133,-0.014,-0.023,0.991,0.0,0.0,0.0,0.0,0.0,0.0,1.0,97
1,-0.698,0.942,-0.942,0.733,-0.823,0.158,0.003,0.133,-0.014,-0.023,0.991,0.0,0.0,0.0,0.0,0.0,0.0,1.0,104
0,-0.942,0.698,-0.942,0.733,-0.866,0.161,0.002,0.133,-0.014,-0.023,0.991,0.0,0.0,0.0,0.0,0.0,0.0,1.0,111
1,-0.698,0.942,-0.942,0.733,-0.823,0.158,0.003,0.133,-0.014,-0.023,0.991,0.0,0.0,0.0,0.0,0.0,0.0,1.0,118
0,-0.942,0.698,-0.942,0.733,-0.866,0.161,0.002,0.133,-0.014,-0.023,0.991,0.0,0.0,0.0,0.0,0.0,0.0,1.0,125
1,-0.698,0.942,-0.942,0.733,-0.823,0.158,0.003,0.133,-0.014,-0.023,0.991,0.0,0.0,0.0,0.0,0.0,0.0,1.0,132
0,-0.942,0.698,-0.942,0.733,-0.866,0.161,0.002,0.133,-0.015,-0.023,0.991,0.0,0.0,0.0,0.0,0.0,0.0,1.0,139
1,-0.698,0.942,-0.942,0.733,-0.823,0.158,0.003,0.133,-0.015,-0.023,0.991,0.0,0.0,0.0,0.0,0.0,0.0,1.0,146
