ViewIndex,FOV1,FOV2,FOV3,FOV4,PositionX,PositionY,PositionZ,QuaternionX,QuaternionY,QuaternionZ,QuaternionW,GazePosX,GazePosY,GazePosZ,GazeQX,GazeQY,GazeQZ,GazeQW,Timestamp
0,-0.942,0.698,-0.942,0.733,0.476,0.43,2.809,-0.096,0.859,0.048,0.5,0.468,0.429,2.812,-0.157,0.864,0.169,0.447,0
1,-0.698,0.942,-0.942,0.733,0.449,0.423,2.761,-0.096,0.859,0.048,0.5,0.446,0.424,2.766,-0.155,0.877,0.168,0.423,4
0,-0.942,0.698,-0.942,0.733,0.477,0.43,2.808,-0.097,0.862,0.048,0.496,0.47,0.429,2.811,-0.159,0.864,0.17,0.447,14
1,-0.698,0.942,-0.942,0.733,0.45,0.424,2.76,-0.097,0.862,0.048,0.496,0.447,0.424,2.765,-0.156,0.877,0.168,0.422,18
0,-0.942,0.698,-0.942,0.733,0.478,0.43,2.807,-0.098,0.864,0.049,0.491,0.471,0.43,2.81,-0.16,0.866,0.17,0.442,28
1,-0.698,0.942,-0.942,0.733,0.451,0.424,2.76,-0.098,0.864,0.049,0.491,0.448,0.424,2.764,-0.157,0.879,0.168,0.417,31
0,-0.942,0.698,-0.942,0.733,0.48,0.43,2.806,-0.099,0.867,0.05,0.486,0.472,0.43,2.809,-0.16,0.868,0.17,0.438,42
1,-0.698,0.942,-0.942,0.733,0.452,0.424,2.759,-0.099,0.867,0.05,0.486,0.448,0.424,2.764,-0.157,0.881,0.168,0.413,46
0,-0.942,0.698,-0.942,0.733,0.481,0.431,2.806,-0.101,0.869,0.051,0.482,0.474,0.43,2.809,-0.162,0.862,0.171,0.449,56
1,-0.698,0.942,-0.942,0.733,0.453,0.424,2.759,-0.101,0.869,0.051,0.482,0.449,0.424,2.763,-0.16,0.875,0.169,0.424,60
0,-0.942,0.698,-0.942,0.733,0.483,0.431,2.805,-0.102,0.871,0.052,0.477,0.475,0.43,2.808,-0.163,0.864,0.172,0.444,70
1,-0.698,0.942,-0.942,0.733,0.454,0.424,2.758,-0.102,0.871,0.052,0.477,0.45,0.424,2.762,-0.16,0.877,0.17,0.42,74
0,-0.942,0.698,-0.942,0.733,0.485,0.432,2.804,-0.102,0.874,0.052,0.473,0.476,0.43,2.807,-0.163,0.866,0.172,0.44,84
1,-0.698,0.942,-0.942,0.733,0.455,0.424,2.758,-0.102,0.874,0.052,0.473,0.451,0.424,2.762,-0.161,0.879,0.17,0.415,88
0,-0.942,0.698,-0.942,0.733,0.486,0.432,2.803,-0.102,0.877,0.05,0.468,0.478,0.43,2.806,-0.164,0.864,0.172,0.443,98
1,-0.698,0.942,-0.942,0.733,0.456,0.425,2.757,-0.102,0.877,0.05,0.468,0.452,0.424,2.761,-0.162,0.877,0.17,0.419,102
0,-0.942,0.698,-0.942,0.733,0.488,0.433,2.803,-0.102,0.879,0.049,0.463,0.479,0.431,2.805,-0.165,0.858,0.172,0.456,112
1,-0.698,0.942,-0.942,0.733,0.457,0.425,2.757,-0.102,0.879,0.049,0.463,0.453,0.424,2.76,-0.163,0.871,0.171,0.431,116
0,-0.942,0.698,-0.942,0.733,0.489,0.434,2.802,-0.101,0.882,0.047,0.457,0.481,0.431,2.804,-0.165,0.86,0.172,0.452,126
1,-0.698,0.942,-0.942,0.733,0.458,0.426,2.757,-0.101,0.882,0.047,0.457,0.454,0.424,2.76,-0.163,0.873,0.171,0.427,130
0,-0.942,0.698,-0.942,0.733,0.492,0.434,2.802,-0.101,0.886,0.044,0.451,0.482,0.431,2.803,-0.165,0.863,0.172,0.446,140
1,-0.698,0.942,-0.942,0.733,0.46,0.427,2.758,-0.101,0.886,0.044,0.451,0.455,0.425,2.76,-0.162,0.876,0.17,0.421,143
0,-0.942,0.698,-0.942,0.733,0.494,0.435,2.802,-0.1,0.889,0.042,0.444,0.484,0.432,2.803,-0.164,0.866,0.17,0.44,154
1,-0.698,0.942,-0.942,0.733,0.461,0.427,2.758,-0.1,0.889,0.042,0.444,0.456,0.425,2.759,-0.161,0.879,0.169,0.416,158
0,-0.942,0.698,-0.942,0.733,0.496,0.436,2.802,-0.099,0.893,0.04,0.437,0.485,0.432,2.802,-0.163,0.869,0.17,0.436,168
1,-0.698,0.942,-0.942,0.733,0.463,0.428,2.759,-0.099,0.893,0.04,0.437,0.457,0.426,2.759,-0.161,0.881,0.168,0.411,171
0,-0.942,0.698,-0.942,0.733,0.498,0.437,2.802,-0.099,0.897,0.038,0.43,0.487,0.433,2.802,-0.142,0.915,0.133,0.353,182
1,-0.698,0.942,-0.942,0.733,0.464,0.429,2.759,-0.099,0.897,0.038,0.43,0.458,0.426,2.759,-0.14,0.925,0.13,0.329,186
0,-0.942,0.698,-0.942,0.733,0.5,0.437,2.802,-0.098,0.901,0.035,0.422,0.489,0.434,2.802,-0.141,0.918,0.131,0.346,196
1,-0.698,0.942,-0.942,0.733,0.466,0.429,2.76,-0.098,0.901,0.035,0.422,0.46,0.427,2.759,-0.139,0.928,0.128,0.321,200
0,-0.942,0.698,-0.942,0.733,0.502,0.438,2.802,-0.097,0.904,0.034,0.415,0.49,0.434,2.802,-0.14,0.919,0.131,0.343,210
1,-0.698,0.942,-0.942,0.733,0.467,0.43,2.76,-0.097,0.904,0.034,0.415,0.46,0.427,2.759,-0.138,0.929,0.128,0.319,214
0,-0.942,0.698,-0.942,0.733,0.504,0.439,2.802,-0.096,0.908,0.031,0.407,0.493,0.435,2.801,-0.131,0.95,0.119,0.257,224
1,-0.698,0.942,-0.942,0.733,0.468,0.431,2.761,-0.096,0.908,0.031,0.407,0.462,0.428,2.76,-0.129,0.957,0.115,0.233,227
0,-0.942,0.698,-0.942,0.733,0.507,0.44,2.802,-0.096,0.912,0.029,0.399,0.494,0.435,2.801,-0.13,0.952,0.118,0.251,238
1,-0.698,0.942,-0.942,0.733,0.47,0.431,2.762,-0.096,0.912,0.029,0.399,0.463,0.428,2.76,-0.128,0.959,0.114,0.227,242
0,-0.942,0.698,-0.942,0.733,0.509,0.44,2.803,-0.096,0.915,0.027,0.391,0.496,0.436,2.801,-0.129,0.954,0.117,0.245,252
1,-0.698,0.942,-0.942,0.733,0.471,0.432,2.763,-0.096,0.915,0.027,0.391,0.464,0.429,2.76,-0.126,0.96,0.113,0.221,260
0,-0.942,0.698,-0.942,0.733,0.511,0.441,2.803,-0.096,0.919,0.026,0.382,0.499,0.437,2.801,-0.127,0.957,0.114,0.233,267
1,-0.698,0.942,-0.942,0.733,0.473,0.432,2.764,-0.096,0.919,0.026,0.382,0.467,0.43,2.761,-0.124,0.964,0.11,0.209,271
0,-0.942,0.698,-0.942,0.733,0.514,0.441,2.803,-0.095,0.922,0.025,0.373,0.501,0.438,2.801,-0.124,0.96,0.109,0.226,281
1,-0.698,0.942,-0.942,0.733,0.475,0.432,2.765,-0.095,0.922,0.025,0.373,0.468,0.43,2.762,-0.122,0.966,0.105,0.202,285
0,-0.942,0.698,-0.942,0.733,0.516,0.441,2.804,-0.095,0.926,0.025,0.364,0.504,0.438,2.801,-0.126,0.955,0.112,0.243,295
