ViewIndex,FOV1,FOV2,FOV3,FOV4,PositionX,PositionY,PositionZ,QuaternionX,QuaternionY,QuaternionZ,QuaternionW,GazePosX,GazePosY,GazePosZ,GazeQX,GazeQY,GazeQZ,GazeQW,Timestamp
0,-0.942,0.698,-0.942,0.733,-2.435,0.447,-0.724,-0.033,0.79,0.215,-0.574,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1,-0.698,0.942,-0.942,0.733,-2.461,0.424,-0.654,-0.033,0.79,0.215,-0.574,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7
0,-0.942,0.698,-0.942,0.733,-2.429,0.448,-0.729,-0.03,0.781,0.213,-0.586,0.0,0.0,0.0,0.0,0.0,0.0,1.0,28
1,-0.698,0.942,-0.942,0.733,-2.453,0.425,-0.658,-0.03,0.781,0.213,-0.586,0.0,0.0,0.0,0.0,0.0,0.0,1.0,35
0,-0.942,0.698,-0.942,0.733,-2.423,0.448,-0.734,-0.028,0.772,0.212,-0.599,0.0,0.0,0.0,0.0,0.0,0.0,1.0,56
1,-0.698,0.942,-0.942,0.733,-2.445,0.425,-0.662,-0.028,0.772,0.212,-0.599,0.0,0.0,0.0,0.0,0.0,0.0,1.0,63
0,-0.942,0.698,-0.942,0.733,-2.418,0.448,-0.738,-0.027,0.762,0.211,-0.611,0.0,0.0,0.0,0.0,0.0,0.0,1.0,84
1,-0.698,0.942,-0.942,0.733,-2.438,0.425,-0.665,-0.027,0.762,0.211,-0.611,0.0,0.0,0.0,0.0,0.0,0.0,1.0,91
0,-0.942,0.698,-0.942,0.733,-2.414,0.447,-0.741,-0.025,0.751,0.213,-0.625,0.0,0.0,0.0,0.0,0.0,0.0,1.0,112
1,-0.698,0.942,-0.942,0.733,-2.431,0.423,-0.668,-0.025,0.751,0.213,-0.625,0.0,0.0,0.0,0.0,0.0,0.0,1.0,119
0,-0.942,0.698,-0.942,0.733,-2.411,0.446,-0.744,-0.021,0.74,0.215,-0.637,0.0,0.0,0.0,0.0,0.0,0.0,1.0,140
1,-0.698,0.942,-0.942,0.733,-2.425,0.422,-0.67,-0.021,0.74,0.215,-0.637,0.0,0.0,0.0,0.0,0.0,0.0,1.0,147
0,-0.942,0.698,-0.942,0.733,-2.407,0.444,-0.746,-0.018,0.729,0.216,-0.649,0.0,0.0,0.0,0.0,0.0,0.0,1.0,168
1,-0.698,0.942,-0.942,0.733,-2.42,0.42,-0.672,-0.018,0.729,0.216,-0.649,0.0,0.0,0.0,0.0,0.0,0.0,1.0,175
0,-0.942,0.698,-0.942,0.733,-2.404,0.443,-0.746,-0.018,0.719,0.217,-0.66,0.0,0.0,0.0,0.0,0.0,0.0,1.0,196
1,-0.698,0.942,-0.942,0.733,-2.415,0.418,-0.672,-0.018,0.719,0.217,-0.66,0.0,0.0,0.0,0.0,0.0,0.0,1.0,203
0,-0.942,0.698,-0.942,0.733,-2.402,0.442,-0.746,-0.017,0.71,0.22,-0.669,0.0,0.0,0.0,0.0,0.0,0.0,1.0,224
1,-0.698,0.942,-0.942,0.733,-2.41,0.417,-0.672,-0.017,0.71,0.22,-0.669,0.0,0.0,0.0,0.0,0.0,0.0,1.0,230
0,-0.942,0.698,-0.942,0.733,-2.401,0.441,-0.745,-0.015,0.701,0.221,-0.678,0.0,0.0,0.0,0.0,0.0,0.0,1.0,252
1,-0.698,0.942,-0.942,0.733,-2.407,0.415,-0.671,-0.015,0.701,0.221,-0.678,0.0,0.0,0.0,0.0,0.0,0.0,1.0,259
0,-0.942,0.698,-0.942,0.733,-2.399,0.439,-0.742,-0.013,0.693,0.223,-0.686,0.0,0.0,0.0,0.0,0.0,0.0,1.0,280
1,-0.698,0.942,-0.942,0.733,-2.404,0.414,-0.668,-0.013,0.693,0.223,-0.686,0.0,0.0,0.0,0.0,0.0,0.0,1.0,287
0,-0.942,0.698,-0.942,0.733,-2.398,0.439,-0.739,-0.012,0.686,0.224,-0.692,0.0,0.0,0.0,0.0,0.0,0.0,1.0,308
1,-0.698,0.942,-0.942,0.733,-2.401,0.413,-0.664,-0.012,0.686,0.224,-0.692,0.0,0.0,0.0,0.0,0.0,0.0,1.0,314
0,-0.942,0.698,-0.942,0.733,-2.397,0.437,-0.735,-0.011,0.68,0.222,-0.699,0.0,0.0,0.0,0.0,0.0,0.0,1.0,336
1,-0.698,0.942,-0.942,0.733,-2.398,0.411,-0.66,-0.011,0.68,0.222,-0.699,0.0,0.0,0.0,0.0,0.0,0.0,1.0,342
0,-0.942,0.698,-0.942,0.733,-2.396,0.436,-0.73,-0.009,0.673,0.221,-0.706,0.0,0.0,0.0,0.0,0.0,0.0,1.0,364
1,-0.698,0.942,-0.942,0.733,-2.396,0.41,-0.655,-0.009,0.673,0.221,-0.706,0.0,0.0,0.0,0.0,0.0,0.0,1.0,370
0,-0.942,0.698,-0.942,0.733,-2.396,0.435,-0.723,-0.007,0.666,0.222,-0.712,0.0,0.0,0.0,0.0,0.0,0.0,1.0,391
1,-0.698,0.942,-0.942,0.733,-2.394,0.409,-0.649,-0.007,0.666,0.222,-0.712,0.0,0.0,0.0,0.0,0.0,0.0,1.0,398
0,-0.942,0.698,-0.942,0.733,-2.395,0.433,-0.716,-0.004,0.66,0.222,-0.718,0.0,0.0,0.0,0.0,0.0,0.0,1.0,419
1,-0.698,0.942,-0.942,0.733,-2.393,0.407,-0.642,-0.004,0.66,0.222,-0.718,0.0,0.0,0.0,0.0,0.0,0.0,1.0,426
0,-0.942,0.698,-0.942,0.733,-2.396,0.431,-0.709,-0.003,0.654,0.222,-0.723,0.0,0.0,0.0,0.0,0.0,0.0,1.0,447
1,-0.698,0.942,-0.942,0.733,-2.392,0.405,-0.635,-0.003,0.654,0.222,-0.723,0.0,0.0,0.0,0.0,0.0,0.0,1.0,454
0,-0.942,0.698,-0.942,0.733,-2.396,0.429,-0.7,-0.003,0.649,0.22,-0.729,0.0,0.0,0.0,0.0,0.0,0.0,1.0,475
1,-0.698,0.942,-0.942,0.733,-2.392,0.404,-0.626,-0.003,0.649,0.22,-0.729,0.0,0.0,0.0,0.0,0.0,0.0,1.0,482
0,-0.942,0.698,-0.942,0.733,-2.398,0.427,-0.691,-0.002,0.643,0.217,-0.735,0.0,0.0,0.0,0.0,0.0,0.0,1.0,503
1,-0.698,0.942,-0.942,0.733,-2.391,0.402,-0.617,-0.002,0.643,0.217,-0.735,0.0,0.0,0.0,0.0,0.0,0.0,1.0,510
0,-0.942,0.698,-0.942,0.733,-2.399,0.425,-0.682,-0.001,0.636,0.213,-0.742,0.0,0.0,0.0,0.0,0.0,0.0,1.0,531
1,-0.698,0.942,-0.942,0.733,-2.391,0.4,-0.607,-0.001,0.636,0.213,-0.742,0.0,0.0,0.0,0.0,0.0,0.0,1.0,538
0,-0.942,0.698,-0.942,0.733,-2.4,0.424,-0.672,0.002,0.628,0.209,-0.75,0.0,0.0,0.0,0.0,0.0,0.0,1.0,559
1,-0.698,0.942,-0.942,0.733,-2.39,0.399,-0.597,0.002,0.628,0.209,-0.75,0.0,0.0,0.0,0.0,0.0,0.0,1.0,565
0,-0.942,0.698,-0.942,0.733,-2.402,0.422,-0.661,0.005,0.619,0.204,-0.759,0.0,0.0,0.0,0.0,0.0,0.0,1.0,587
1,-0.698,0.942,-0.942,0.733,-2.39,0.398,-0.587,0.005,0.619,0.204,-0.759,0.0,0.0,0.0,0.0,0.0,0.0,1.0,593
0,-0.942,0.698,-0.942,0.733,-2.403,0.421,-0.65,0.009,0.609,0.201,-0.767,0.0,0.0,0.0,0.0,0.0,0.0,1.0,615
1,-0.698,0.942,-0.942,0.733,-2.389,0.397,-0.576,0.009,0.609,0.201,-0.767,0.0,0.0,0.0,0.0,0.0,0.0,1.0,621
0,-0.942,0.698,-0.942,0.733,-2.405,0.418,-0.639,0.012,0.598,0.199,-0.776,0.0,0.0,0.0,0.0,0.0,0.0,1.0,643
1,-0.698,0.942,-0.942,0.733,-2.389,0.394,-0.566,0.012,0.598,0.199,-0.776,0.0,0.0,0.0,0.0,0.0,0.0,1.0,649
0,-0.942,0.698,-0.942,0.733,-2.408,0.416,-0.629,0.014,0.588,0.199,-0.784,0.0,0.0,0.0,0.0,0.0,0.0,1.0,670
1,-0.698,0.942,-0.942,0.733,-2.39,0.393,-0.556,0.014,0.588,0.199,-0.784,0.0,0.0,0.0,0.0,0.0,0.0,1.0,677
0,-0.942,0.698,-0.942,0.733,-2.41,0.414,-0.618,0.018,0.577,0.192,-0.794,0.0,0.0,0.0,0.0,0.0,0.0,1.0,698
1,-0.698,0.942,-0.942,0.733,-2.389,0.392,-0.545,0.018,0.577,0.192,-0.794,0.0,0.0,0.0,0.0,0.0,0.0,1.0,705
0,-0.942,0.698,-0.942,0.733,-2.412,0.414,-0.609,0.016,0.565,0.184,-0.804,0.0,0.0,0.0,0.0,0.0,0.0,1.0,726
1,-0.698,0.942,-0.942,0.733,-2.389,0.392,-0.537,0.016,0.565,0.184,-0.804,0.0,0.0,0.0,0.0,0.0,0.0,1.0,733
0,-0.942,0.698,-0.942,0.733,-2.416,0.412,-0.601,0.015,0.553,0.177,-0.814,0.0,0.0,0.0,0.0,0.0,0.0,1.0,754
1,-0.698,0.942,-0.942,0.733,-2.39,0.39,-0.529,0.015,0.553,0.177,-0.814,0.0,0.0,0.0,0.0,0.0,0.0,1.0,760
0,-0.942,0.698,-0.942,0.733,-2.419,0.41,-0.593,0.017,0.54,0.169,-0.825,0.0,0.0,0.0,0.0,0.0,0.0,1.0,782
1,-0.698,0.942,-0.942,0.733,-2.391,0.389,-0.522,0.017,0.54,0.169,-0.825,0.0,0.0,0.0,0.0,0.0,0.0,1.0,788
0,-0.942,0.698,-0.942,0.733,-2.423,0.408,-0.584,0.019,0.525,0.162,-0.835,0.0,0.0,0.0,0.0,0.0,0.0,1.0,810
1,-0.698,0.942,-0.942,0.733,-2.392,0.388,-0.515,0.019,0.525,0.162,-0.835,0.0,0.0,0.0,0.0,0.0,0.0,1.0,816
0,-0.942,0.698,-0.942,0.733,-2.427,0.406,-0.577,0.022,0.512,0.156,-0.844,0.0,0.0,0.0,0.0,0.0,0.0,1.0,838
1,-0.698,0.942,-0.942,0.733,-2.393,0.387,-0.508,0.022,0.512,0.156,-0.844,0.0,0.0,0.0,0.0,0.0,0.0,1.0,844
0,-0.942,0.698,-0.942,0.733,-2.43,0.405,-0.57,0.027,0.497,0.152,-0.854,0.0,0.0,0.0,0.0,0.0,0.0,1.0,866
1,-0.698,0.942,-0.942,0.733,-2.394,0.386,-0.502,0.027,0.497,0.152,-0.854,0.0,0.0,0.0,0.0,0.0,0.0,1.0,871
0,-0.942,0.698,-0.942,0.733,-2.435,0.404,-0.563,0.032,0.481,0.143,-0.864,0.0,0.0,0.0,0.0,0.0,0.0,1.0,894
1,-0.698,0.942,-0.942,0.733,-2.395,0.386,-0.496,0.032,0.481,0.143,-0.864,0.0,0.0,0.0,0.0,0.0,0.0,1.0,899
0,-0.942,0.698,-0.942,0.733,-2.44,0.404,-0.556,0.033,0.461,0.136,-0.876,0.0,0.0,0.0,0.0,0.0,0.0,1.0,922
1,-0.698,0.942,-0.942,0.733,-2.397,0.388,-0.492,0.033,0.461,0.136,-0.876,0.0,0.0,0.0,0.0,0.0,0.0,1.0,927
0,-0.942,0.698,-0.942,0.733,-2.447,0.405,-0.551,0.033,0.437,0.127,-0.89,0.0,0.0,0.0,0.0,0.0,0.0,1.0,950
1,-0.698,0.942,-0.942,0.733,-2.401,0.389,-0.489,0.033,0.437,0.127,-0.89,0.0,0.0,0.0,0.0,0.0,0.0,1.0,955
0,-0.942,0.698,-0.942,0.733,-2.454,0.404,-0.545,0.033,0.409,0.114,-0.905,0.0,0.0,0.0,0.0,0.0,0.0,1.0,978
1,-0.698,0.942,-0.942,0.733,-2.403,0.39,-0.486,0.033,0.409,0.114,-0.905,0.0,0.0,0.0,0.0,0.0,0.0,1.0,983
0,-0.942,0.698,-0.942,0.733,-2.462,0.405,-0.54,0.029,0.379,0.106,-0.919,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1006
1,-0.698,0.942,-0.942,0.733,-2.408,0.391,-0.485,0.029,0.379,0.106,-0.919,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1011
