ViewIndex,FOV1,FOV2,FOV3,FOV4,PositionX,PositionY,PositionZ,QuaternionX,QuaternionY,QuaternionZ,QuaternionW,GazePosX,GazePosY,GazePosZ,GazeQX,GazeQY,GazeQZ,GazeQW,Timestamp
0,-0.942,0.698,-0.942,0.733,0.11,-0.21,0.189,0.281,-0.116,-0.552,0.776,0.107,-0.206,0.198,0.111,-0.108,-0.605,0.781,0
1,-0.698,0.942,-0.942,0.733,0.132,-0.268,0.181,0.281,-0.116,-0.552,0.776,0.133,-0.265,0.185,0.124,-0.087,-0.595,0.789,7
0,-0.942,0.698,-0.942,0.733,0.11,-0.212,0.187,0.272,-0.121,-0.555,0.777,0.108,-0.207,0.195,0.101,-0.111,-0.607,0.78,28
1,-0.698,0.942,-0.942,0.733,0.132,-0.269,0.18,0.272,-0.121,-0.555,0.777,0.133,-0.266,0.184,0.114,-0.09,-0.597,0.789,35
0,-0.942,0.698,-0.942,0.733,0.111,-0.213,0.185,0.262,-0.127,-0.559,0.777,0.108,-0.208,0.194,0.098,-0.113,-0.608,0.78,56
1,-0.698,0.942,-0.942,0.733,0.133,-0.271,0.179,0.262,-0.127,-0.559,0.777,0.133,-0.267,0.183,0.111,-0.092,-0.598,0.788,63
0,-0.942,0.698,-0.942,0.733,0.112,-0.213,0.183,0.252,-0.131,-0.561,0.777,0.109,-0.209,0.189,0.078,-0.121,-0.614,0.776,84
1,-0.698,0.942,-0.942,0.733,0.133,-0.272,0.178,0.252,-0.131,-0.561,0.777,0.133,-0.269,0.181,0.091,-0.1,-0.605,0.785,91
0,-0.942,0.698,-0.942,0.733,0.112,-0.214,0.18,0.244,-0.138,-0.563,0.778,0.11,-0.21,0.187,0.041,-0.141,-0.628,0.764,111
1,-0.698,0.942,-0.942,0.733,0.133,-0.273,0.177,0.244,-0.138,-0.563,0.778,0.133,-0.271,0.18,0.053,-0.12,-0.62,0.774,119
0,-0.942,0.698,-0.942,0.733,0.113,-0.215,0.178,0.235,-0.144,-0.565,0.778,0.11,-0.211,0.185,0.032,-0.147,-0.63,0.762,139
1,-0.698,0.942,-0.942,0.733,0.133,-0.274,0.175,0.235,-0.144,-0.565,0.778,0.133,-0.272,0.179,0.044,-0.125,-0.622,0.772,147
0,-0.942,0.698,-0.942,0.733,0.114,-0.217,0.176,0.226,-0.149,-0.566,0.779,0.111,-0.212,0.183,0.033,-0.149,-0.628,0.763,167
1,-0.698,0.942,-0.942,0.733,0.133,-0.276,0.174,0.226,-0.149,-0.566,0.779,0.133,-0.273,0.177,0.046,-0.128,-0.62,0.773,174
