ViewIndex,FOV1,FOV2,FOV3,FOV4,PositionX,PositionY,PositionZ,QuaternionX,QuaternionY,QuaternionZ,QuaternionW,GazePosX,GazePosY,GazePosZ,GazeQX,GazeQY,GazeQZ,GazeQW,Timestamp
0,-0.942,0.698,-0.942,0.733,-1.123,0.009,2.283,0.07,-0.561,-0.058,-0.823,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1,-0.698,0.942,-0.942,0.733,-1.111,0.01,2.251,0.07,-0.561,-0.058,-0.823,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4
0,-0.942,0.698,-0.942,0.733,-1.126,0.01,2.285,0.065,-0.574,-0.055,-0.814,0.0,0.0,0.0,0.0,0.0,0.0,1.0,28
1,-0.698,0.942,-0.942,0.733,-1.114,0.01,2.253,0.065,-0.574,-0.055,-0.814,0.0,0.0,0.0,0.0,0.0,0.0,1.0,32
0,-0.942,0.698,-0.942,0.733,-1.128,0.01,2.287,0.063,-0.585,-0.056,-0.807,0.0,0.0,0.0,0.0,0.0,0.0,1.0,56
1,-0.698,0.942,-0.942,0.733,-1.117,0.01,2.255,0.063,-0.585,-0.056,-0.807,0.0,0.0,0.0,0.0,0.0,0.0,1.0,60
0,-0.942,0.698,-0.942,0.733,-1.13,0.01,2.289,0.064,-0.595,-0.057,-0.799,0.0,0.0,0.0,0.0,0.0,0.0,1.0,84
1,-0.698,0.942,-0.942,0.733,-1.12,0.01,2.257,0.064,-0.595,-0.057,-0.799,0.0,0.0,0.0,0.0,0.0,0.0,1.0,88
0,-0.942,0.698,-0.942,0.733,-1.133,0.01,2.29,0.066,-0.604,-0.061,-0.792,0.0,0.0,0.0,0.0,0.0,0.0,1.0,112
1,-0.698,0.942,-0.942,0.733,-1.124,0.01,2.257,0.066,-0.604,-0.061,-0.792,0.0,0.0,0.0,0.0,0.0,0.0,1.0,115
0,-0.942,0.698,-0.942,0.733,-1.135,0.01,2.291,0.068,-0.614,-0.061,-0.784,0.0,0.0,0.0,0.0,0.0,0.0,1.0,140
1,-0.698,0.942,-0.942,0.733,-1.127,0.01,2.258,0.068,-0.614,-0.061,-0.784,0.0,0.0,0.0,0.0,0.0,0.0,1.0,143
0,-0.942,0.698,-0.942,0.733,-1.138,0.011,2.292,0.071,-0.623,-0.058,-0.777,0.0,0.0,0.0,0.0,0.0,0.0,1.0,168
1,-0.698,0.942,-0.942,0.733,-1.131,0.011,2.258,0.071,-0.623,-0.058,-0.777,0.0,0.0,0.0,0.0,0.0,0.0,1.0,171
0,-0.942,0.698,-0.942,0.733,-1.142,0.011,2.292,0.072,-0.632,-0.054,-0.77,0.0,0.0,0.0,0.0,0.0,0.0,1.0,196
1,-0.698,0.942,-0.942,0.733,-1.135,0.011,2.258,0.072,-0.632,-0.054,-0.77,0.0,0.0,0.0,0.0,0.0,0.0,1.0,199
0,-0.942,0.698,-0.942,0.733,-1.145,0.011,2.291,0.071,-0.64,-0.054,-0.763,0.0,0.0,0.0,0.0,0.0,0.0,1.0,224
1,-0.698,0.942,-0.942,0.733,-1.139,0.011,2.257,0.071,-0.64,-0.054,-0.763,0.0,0.0,0.0,0.0,0.0,0.0,1.0,227
0,-0.942,0.698,-0.942,0.733,-1.149,0.011,2.29,0.07,-0.648,-0.055,-0.756,0.0,0.0,0.0,0.0,0.0,0.0,1.0,252
1,-0.698,0.942,-0.942,0.733,-1.143,0.011,2.256,0.07,-0.648,-0.055,-0.756,0.0,0.0,0.0,0.0,0.0,0.0,1.0,255
0,-0.942,0.698,-0.942,0.733,-1.153,0.011,2.288,0.07,-0.654,-0.052,-0.751,0.0,0.0,0.0,0.0,0.0,0.0,1.0,280
1,-0.698,0.942,-0.942,0.733,-1.148,0.011,2.254,0.07,-0.654,-0.052,-0.751,0.0,0.0,0.0,0.0,0.0,0.0,1.0,283
0,-0.942,0.698,-0.942,0.733,-1.157,0.011,2.286,0.071,-0.66,-0.049,-0.747,0.0,0.0,0.0,0.0,0.0,0.0,1.0,308
1,-0.698,0.942,-0.942,0.733,-1.153,0.01,2.252,0.071,-0.66,-0.049,-0.747,0.0,0.0,0.0,0.0,0.0,0.0,1.0,311
0,-0.942,0.698,-0.942,0.733,-1.162,0.011,2.283,0.068,-0.666,-0.043,-0.741,0.0,0.0,0.0,0.0,0.0,0.0,1.0,336
1,-0.698,0.942,-0.942,0.733,-1.158,0.01,2.249,0.068,-0.666,-0.043,-0.741,0.0,0.0,0.0,0.0,0.0,0.0,1.0,338
0,-0.942,0.698,-0.942,0.733,-1.167,0.01,2.28,0.073,-0.672,-0.042,-0.735,0.0,0.0,0.0,0.0,0.0,0.0,1.0,363
1,-0.698,0.942,-0.942,0.733,-1.164,0.009,2.246,0.073,-0.672,-0.042,-0.735,0.0,0.0,0.0,0.0,0.0,0.0,1.0,366
0,-0.942,0.698,-0.942,0.733,-1.172,0.01,2.276,0.078,-0.678,-0.045,-0.729,0.0,0.0,0.0,0.0,0.0,0.0,1.0,391
1,-0.698,0.942,-0.942,0.733,-1.169,0.009,2.242,0.078,-0.678,-0.045,-0.729,0.0,0.0,0.0,0.0,0.0,0.0,1.0,394
0,-0.942,0.698,-0.942,0.733,-1.177,0.009,2.272,0.083,-0.681,-0.048,-0.726,0.0,0.0,0.0,0.0,0.0,0.0,1.0,419
1,-0.698,0.942,-0.942,0.733,-1.174,0.008,2.238,0.083,-0.681,-0.048,-0.726,0.0,0.0,0.0,0.0,0.0,0.0,1.0,422
0,-0.942,0.698,-0.942,0.733,-1.182,0.009,2.266,0.089,-0.681,-0.049,-0.726,0.0,0.0,0.0,0.0,0.0,0.0,1.0,447
1,-0.698,0.942,-0.942,0.733,-1.18,0.007,2.232,0.089,-0.681,-0.049,-0.726,0.0,0.0,0.0,0.0,0.0,0.0,1.0,450
0,-0.942,0.698,-0.942,0.733,-1.187,0.008,2.261,0.091,-0.681,-0.049,-0.725,0.0,0.0,0.0,0.0,0.0,0.0,1.0,475
1,-0.698,0.942,-0.942,0.733,-1.185,0.006,2.227,0.091,-0.681,-0.049,-0.725,0.0,0.0,0.0,0.0,0.0,0.0,1.0,478
0,-0.942,0.698,-0.942,0.733,-1.192,0.007,2.257,0.091,-0.688,-0.053,-0.718,0.0,0.0,0.0,0.0,0.0,0.0,1.0,503
1,-0.698,0.942,-0.942,0.733,-1.191,0.005,2.223,0.091,-0.688,-0.053,-0.718,0.0,0.0,0.0,0.0,0.0,0.0,1.0,506
0,-0.942,0.698,-0.942,0.733,-1.198,0.006,2.253,0.088,-0.703,-0.057,-0.703,0.0,0.0,0.0,0.0,0.0,0.0,1.0,531
1,-0.698,0.942,-0.942,0.733,-1.197,0.005,2.219,0.088,-0.703,-0.057,-0.703,0.0,0.0,0.0,0.0,0.0,0.0,1.0,534
0,-0.942,0.698,-0.942,0.733,-1.202,0.006,2.249,0.09,-0.721,-0.056,-0.685,0.0,0.0,0.0,0.0,0.0,0.0,1.0,559
1,-0.698,0.942,-0.942,0.733,-1.204,0.004,2.214,0.09,-0.721,-0.056,-0.685,0.0,0.0,0.0,0.0,0.0,0.0,1.0,562
