ViewIndex,FOV1,FOV2,FOV3,FOV4,PositionX,PositionY,PositionZ,QuaternionX,QuaternionY,QuaternionZ,QuaternionW,GazePosX,GazePosY,GazePosZ,GazeQX,GazeQY,GazeQZ,GazeQW,Timestamp
0,-0.942,0.698,-0.942,0.733,-0.499,0.133,-0.005,0.004,0.552,0.158,0.819,-0.488,0.129,0.016,-0.01,0.624,0.157,0.765,0
1,-0.698,0.942,-0.942,0.733,-0.485,0.144,-0.042,0.004,0.552,0.158,0.819,-0.471,0.14,-0.021,-0.014,0.644,0.157,0.749,7
0,-0.942,0.698,-0.942,0.733,-0.503,0.135,-0.014,0.002,0.557,0.16,0.815,-0.492,0.131,0.008,-0.01,0.63,0.156,0.761,28
1,-0.698,0.942,-0.942,0.733,-0.489,0.146,-0.051,0.002,0.557,0.16,0.815,-0.477,0.142,-0.028,-0.014,0.65,0.156,0.744,35
0,-0.942,0.698,-0.942,0.733,-0.506,0.138,-0.022,0.007,0.566,0.158,0.809,-0.496,0.132,0.001,-0.01,0.632,0.156,0.759,56
1,-0.698,0.942,-0.942,0.733,-0.493,0.149,-0.06,0.007,0.566,0.158,0.809,-0.481,0.143,-0.036,-0.014,0.652,0.156,0.742,63
0,-0.942,0.698,-0.942,0.733,-0.509,0.139,-0.031,0.009,0.574,0.155,0.804,-0.499,0.134,-0.006,-0.008,0.638,0.155,0.754,84
1,-0.698,0.942,-0.942,0.733,-0.497,0.15,-0.069,0.009,0.574,0.155,0.804,-0.485,0.145,-0.044,-0.012,0.658,0.155,0.737,91
0,-0.942,0.698,-0.942,0.733,-0.511,0.141,-0.041,0.009,0.582,0.153,0.799,-0.502,0.135,-0.013,-0.004,0.637,0.153,0.756,112
1,-0.698,0.942,-0.942,0.733,-0.499,0.152,-0.079,0.009,0.582,0.153,0.799,-0.488,0.146,-0.051,-0.008,0.656,0.153,0.739,118
0,-0.942,0.698,-0.942,0.733,-0.513,0.144,-0.051,0.009,0.589,0.152,0.793,-0.505,0.137,-0.022,-0.002,0.637,0.152,0.755,139
1,-0.698,0.942,-0.942,0.733,-0.502,0.154,-0.09,0.009,0.589,0.152,0.793,-0.492,0.148,-0.06,-0.007,0.657,0.152,0.738,147
0,-0.942,0.698,-0.942,0.733,-0.514,0.146,-0.063,0.01,0.596,0.146,0.79,-0.508,0.14,-0.034,-0.002,0.646,0.15,0.748,167
1,-0.698,0.942,-0.942,0.733,-0.504,0.156,-0.101,0.01,0.596,0.146,0.79,-0.496,0.151,-0.072,-0.006,0.666,0.15,0.731,174
0,-0.942,0.698,-0.942,0.733,-0.515,0.149,-0.074,0.01,0.601,0.143,0.786,-0.51,0.141,-0.04,-0.006,0.64,0.154,0.752,195
1,-0.698,0.942,-0.942,0.733,-0.505,0.159,-0.113,0.01,0.601,0.143,0.786,-0.498,0.152,-0.078,-0.009,0.66,0.154,0.735,202
0,-0.942,0.698,-0.942,0.733,-0.516,0.154,-0.085,0.01,0.61,0.142,0.78,-0.512,0.144,-0.053,-0.005,0.649,0.151,0.746,223
1,-0.698,0.942,-0.942,0.733,-0.507,0.163,-0.124,0.01,0.61,0.142,0.78,-0.501,0.155,-0.091,-0.009,0.668,0.151,0.728,230
0,-0.942,0.698,-0.942,0.733,-0.517,0.158,-0.096,0.012,0.617,0.137,0.775,-0.513,0.146,-0.059,-0.02,0.679,0.159,0.717,251
1,-0.698,0.942,-0.942,0.733,-0.509,0.167,-0.135,0.012,0.617,0.137,0.775,-0.502,0.156,-0.098,-0.023,0.697,0.159,0.699,258
0,-0.942,0.698,-0.942,0.733,-0.519,0.162,-0.107,0.012,0.624,0.133,0.77,-0.513,0.146,-0.059,-0.02,0.679,0.159,0.717,279
1,-0.698,0.942,-0.942,0.733,-0.511,0.171,-0.146,0.012,0.624,0.133,0.77,-0.502,0.156,-0.098,-0.023,0.697,0.159,0.699,286
0,-0.942,0.698,-0.942,0.733,-0.519,0.169,-0.118,0.016,0.631,0.132,0.764,-0.516,0.154,-0.084,-0.022,0.688,0.158,0.708,306
1,-0.698,0.942,-0.942,0.733,-0.512,0.178,-0.157,0.016,0.631,0.132,0.764,-0.507,0.164,-0.123,-0.025,0.707,0.158,0.689,314
0,-0.942,0.698,-0.942,0.733,-0.521,0.174,-0.129,0.018,0.637,0.128,0.76,-0.516,0.155,-0.087,-0.021,0.69,0.157,0.706,334
1,-0.698,0.942,-0.942,0.733,-0.514,0.183,-0.169,0.018,0.637,0.128,0.76,-0.507,0.165,-0.127,-0.024,0.709,0.157,0.687,341
0,-0.942,0.698,-0.942,0.733,-0.523,0.181,-0.14,0.026,0.641,0.123,0.757,-0.518,0.163,-0.106,-0.016,0.698,0.152,0.699,362
1,-0.698,0.942,-0.942,0.733,-0.517,0.19,-0.179,0.026,0.641,0.123,0.757,-0.51,0.173,-0.146,-0.019,0.717,0.152,0.68,369
0,-0.942,0.698,-0.942,0.733,-0.524,0.186,-0.149,0.024,0.646,0.122,0.753,-0.52,0.168,-0.116,-0.015,0.697,0.153,0.701,390
1,-0.698,0.942,-0.942,0.733,-0.519,0.195,-0.189,0.024,0.646,0.122,0.753,-0.512,0.178,-0.156,-0.018,0.715,0.153,0.682,397
0,-0.942,0.698,-0.942,0.733,-0.526,0.192,-0.159,0.026,0.652,0.119,0.749,-0.52,0.168,-0.116,-0.015,0.697,0.153,0.701,418
1,-0.698,0.942,-0.942,0.733,-0.521,0.2,-0.199,0.026,0.652,0.119,0.749,-0.512,0.178,-0.156,-0.018,0.715,0.153,0.682,425
0,-0.942,0.698,-0.942,0.733,-0.527,0.194,-0.167,0.011,0.651,0.117,0.75,-0.523,0.181,-0.139,-0.021,0.698,0.152,0.699,446
1,-0.698,0.942,-0.942,0.733,-0.522,0.202,-0.207,0.011,0.651,0.117,0.75,-0.517,0.189,-0.179,-0.023,0.717,0.153,0.68,453
0,-0.942,0.698,-0.942,0.733,-0.529,0.197,-0.177,0.013,0.652,0.118,0.749,-0.525,0.186,-0.15,-0.022,0.702,0.15,0.696,474
1,-0.698,0.942,-0.942,0.733,-0.524,0.205,-0.217,0.013,0.652,0.118,0.749,-0.519,0.194,-0.19,-0.024,0.72,0.15,0.677,480
0,-0.942,0.698,-0.942,0.733,-0.532,0.199,-0.185,0.017,0.654,0.119,0.747,-0.526,0.189,-0.158,-0.022,0.704,0.149,0.694,502
1,-0.698,0.942,-0.942,0.733,-0.527,0.207,-0.225,0.017,0.654,0.119,0.747,-0.52,0.198,-0.198,-0.024,0.722,0.149,0.675,508
0,-0.942,0.698,-0.942,0.733,-0.534,0.202,-0.193,0.018,0.658,0.116,0.744,-0.527,0.192,-0.165,-0.024,0.731,0.149,0.665,530
1,-0.698,0.942,-0.942,0.733,-0.53,0.21,-0.233,0.018,0.658,0.116,0.744,-0.522,0.2,-0.206,-0.027,0.748,0.149,0.646,536
0,-0.942,0.698,-0.942,0.733,-0.537,0.204,-0.201,0.019,0.661,0.114,0.742,-0.527,0.192,-0.165,-0.024,0.731,0.149,0.665,557
1,-0.698,0.942,-0.942,0.733,-0.533,0.212,-0.242,0.019,0.661,0.114,0.742,-0.522,0.2,-0.206,-0.027,0.748,0.149,0.646,564
0,-0.942,0.698,-0.942,0.733,-0.539,0.205,-0.205,0.017,0.666,0.119,0.736,-0.532,0.199,-0.184,-0.024,0.735,0.148,0.661,585
1,-0.698,0.942,-0.942,0.733,-0.535,0.213,-0.245,0.017,0.666,0.119,0.736,-0.527,0.207,-0.225,-0.026,0.752,0.149,0.642,592
0,-0.942,0.698,-0.942,0.733,-0.541,0.206,-0.209,0.013,0.671,0.118,0.731,-0.535,0.201,-0.192,-0.025,0.738,0.15,0.658,613
1,-0.698,0.942,-0.942,0.733,-0.538,0.214,-0.25,0.013,0.671,0.118,0.731,-0.53,0.209,-0.233,-0.027,0.755,0.15,0.638,620
0,-0.942,0.698,-0.942,0.733,-0.543,0.209,-0.212,0.01,0.678,0.117,0.726,-0.537,0.203,-0.198,-0.025,0.736,0.149,0.66,641
1,-0.698,0.942,-0.942,0.733,-0.541,0.216,-0.253,0.01,0.678,0.117,0.726,-0.533,0.211,-0.239,-0.027,0.753,0.149,0.64,648
0,-0.942,0.698,-0.942,0.733,-0.545,0.21,-0.215,0.011,0.685,0.12,0.718,-0.539,0.205,-0.204,-0.026,0.741,0.149,0.654,669
1,-0.698,0.942,-0.942,0.733,-0.544,0.218,-0.255,0.011,0.685,0.12,0.718,-0.536,0.213,-0.245,-0.028,0.758,0.149,0.634,676
0,-0.942,0.698,-0.942,0.733,-0.547,0.211,-0.217,0.01,0.692,0.122,0.712,-0.541,0.207,-0.208,-0.028,0.744,0.151,0.651,697
1,-0.698,0.942,-0.942,0.733,-0.547,0.219,-0.258,0.01,0.692,0.122,0.712,-0.539,0.215,-0.249,-0.03,0.761,0.152,0.63,704
0,-0.942,0.698,-0.942,0.733,-0.549,0.212,-0.22,0.01,0.695,0.126,0.708,-0.544,0.209,-0.212,-0.027,0.746,0.151,0.648,725
1,-0.698,0.942,-0.942,0.733,-0.549,0.219,-0.26,0.01,0.695,0.126,0.708,-0.542,0.216,-0.253,-0.029,0.763,0.151,0.628,732
0,-0.942,0.698,-0.942,0.733,-0.551,0.213,-0.222,0.009,0.7,0.127,0.703,-0.544,0.209,-0.212,-0.027,0.746,0.151,0.648,753
1,-0.698,0.942,-0.942,0.733,-0.552,0.22,-0.263,0.009,0.7,0.127,0.703,-0.542,0.216,-0.253,-0.029,0.763,0.151,0.628,760
0,-0.942,0.698,-0.942,0.733,-0.553,0.212,-0.224,0.016,0.698,0.131,0.704,-0.548,0.21,-0.217,-0.023,0.745,0.154,0.649,780
1,-0.698,0.942,-0.942,0.733,-0.553,0.22,-0.264,0.016,0.698,0.131,0.704,-0.547,0.219,-0.258,-0.026,0.762,0.154,0.629,787
0,-0.942,0.698,-0.942,0.733,-0.555,0.212,-0.226,0.017,0.7,0.13,0.702,-0.55,0.211,-0.22,-0.022,0.747,0.156,0.646,808
1,-0.698,0.942,-0.942,0.733,-0.556,0.22,-0.266,0.017,0.7,0.13,0.702,-0.549,0.219,-0.261,-0.024,0.764,0.156,0.625,815
0,-0.942,0.698,-0.942,0.733,-0.557,0.211,-0.228,0.016,0.7,0.127,0.703,-0.552,0.211,-0.222,-0.018,0.745,0.154,0.648,836
1,-0.698,0.942,-0.942,0.733,-0.558,0.22,-0.268,0.016,0.7,0.127,0.703,-0.552,0.22,-0.263,-0.021,0.762,0.155,0.628,843
0,-0.942,0.698,-0.942,0.733,-0.559,0.211,-0.229,0.013,0.7,0.124,0.703,-0.553,0.211,-0.224,-0.016,0.744,0.152,0.65,864
1,-0.698,0.942,-0.942,0.733,-0.559,0.219,-0.269,0.013,0.7,0.124,0.703,-0.554,0.22,-0.265,-0.018,0.761,0.152,0.63,871
0,-0.942,0.698,-0.942,0.733,-0.561,0.21,-0.23,0.008,0.7,0.12,0.704,-0.556,0.211,-0.226,-0.016,0.744,0.15,0.651,892
1,-0.698,0.942,-0.942,0.733,-0.561,0.218,-0.271,0.008,0.7,0.12,0.704,-0.556,0.219,-0.267,-0.019,0.761,0.15,0.631,898
0,-0.942,0.698,-0.942,0.733,-0.564,0.213,-0.23,0.005,0.699,0.115,0.706,-0.557,0.211,-0.227,-0.017,0.742,0.147,0.654,919
1,-0.698,0.942,-0.942,0.733,-0.564,0.22,-0.271,0.005,0.699,0.115,0.706,-0.557,0.219,-0.268,-0.019,0.759,0.147,0.634,926
0,-0.942,0.698,-0.942,0.733,-0.565,0.214,-0.23,0.003,0.698,0.109,0.707,-0.559,0.211,-0.228,-0.018,0.742,0.143,0.655,947
1,-0.698,0.942,-0.942,0.733,-0.565,0.22,-0.271,0.003,0.698,0.109,0.707,-0.56,0.219,-0.269,-0.021,0.759,0.144,0.635,954
0,-0.942,0.698,-0.942,0.733,-0.567,0.215,-0.23,0.001,0.701,0.109,0.705,-0.562,0.212,-0.229,-0.021,0.742,0.139,0.656,975
1,-0.698,0.942,-0.942,0.733,-0.567,0.221,-0.271,0.001,0.701,0.109,0.705,-0.562,0.219,-0.27,-0.023,0.759,0.139,0.635,982
0,-0.942,0.698,-0.942,0.733,-0.569,0.218,-0.229,0.008,0.706,0.103,0.701,-0.563,0.213,-0.229,-0.022,0.743,0.137,0.655,1003
1,-0.698,0.942,-0.942,0.733,-0.569,0.224,-0.27,0.008,0.706,0.103,0.701,-0.563,0.22,-0.27,-0.024,0.76,0.137,0.635,1010
0,-0.942,0.698,-0.942,0.733,-0.569,0.217,-0.229,0.007,0.71,0.1,0.697,-0.564,0.213,-0.229,-0.029,0.763,0.141,0.63,1031
1,-0.698,0.942,-0.942,0.733,-0.57,0.223,-0.269,0.007,0.71,0.1,0.697,-0.564,0.22,-0.27,-0.031,0.78,0.141,0.61,1038
0,-0.942,0.698,-0.942,0.733,-0.571,0.218,-0.228,0.007,0.712,0.096,0.695,-0.564,0.213,-0.229,-0.029,0.763,0.141,0.63,1058
1,-0.698,0.942,-0.942,0.733,-0.572,0.224,-0.269,0.007,0.712,0.096,0.695,-0.564,0.22,-0.27,-0.031,0.78,0.141,0.61,1066
0,-0.942,0.698,-0.942,0.733,-0.569,0.215,-0.229,0.008,0.722,0.115,0.682,-0.567,0.215,-0.229,-0.037,0.798,0.149,0.583,1086
1,-0.698,0.942,-0.942,0.733,-0.572,0.222,-0.269,0.008,0.722,0.115,0.682,-0.569,0.222,-0.27,-0.038,0.812,0.149,0.562,1093
0,-0.942,0.698,-0.942,0.733,-0.569,0.214,-0.23,0.006,0.725,0.121,0.678,-0.568,0.215,-0.229,-0.037,0.8,0.151,0.58,1114
1,-0.698,0.942,-0.942,0.733,-0.572,0.221,-0.27,0.006,0.725,0.121,0.678,-0.57,0.222,-0.27,-0.038,0.815,0.151,0.559,1121
0,-0.942,0.698,-0.942,0.733,-0.569,0.213,-0.231,0.005,0.726,0.126,0.676,-0.569,0.214,-0.229,-0.037,0.801,0.154,0.578,1142
1,-0.698,0.942,-0.942,0.733,-0.573,0.221,-0.271,0.005,0.726,0.126,0.676,-0.571,0.222,-0.27,-0.039,0.816,0.154,0.556,1149
0,-0.942,0.698,-0.942,0.733,-0.571,0.215,-0.231,0.005,0.728,0.123,0.675,-0.569,0.214,-0.229,-0.038,0.803,0.157,0.574,1170
1,-0.698,0.942,-0.942,0.733,-0.574,0.222,-0.271,0.005,0.728,0.123,0.675,-0.572,0.221,-0.27,-0.039,0.818,0.157,0.553,1177
0,-0.942,0.698,-0.942,0.733,-0.571,0.216,-0.231,0.004,0.73,0.123,0.672,-0.569,0.214,-0.229,-0.037,0.801,0.156,0.577,1198
1,-0.698,0.942,-0.942,0.733,-0.575,0.223,-0.272,0.004,0.73,0.123,0.672,-0.572,0.221,-0.27,-0.038,0.816,0.156,0.556,1204
0,-0.942,0.698,-0.942,0.733,-0.572,0.216,-0.232,0.004,0.733,0.124,0.669,-0.569,0.214,-0.229,-0.037,0.801,0.156,0.577,1226
1,-0.698,0.942,-0.942,0.733,-0.576,0.223,-0.272,0.004,0.733,0.124,0.669,-0.572,0.221,-0.27,-0.038,0.816,0.156,0.556,1248
0,-0.942,0.698,-0.942,0.733,-0.573,0.217,-0.231,0.007,0.739,0.107,0.665,-0.571,0.215,-0.231,-0.033,0.8,0.15,0.579,1258
1,-0.698,0.942,-0.942,0.733,-0.577,0.223,-0.272,0.007,0.739,0.107,0.665,-0.575,0.222,-0.272,-0.035,0.815,0.15,0.558,1264
0,-0.942,0.698,-0.942,0.733,-0.573,0.218,-0.231,0.009,0.746,0.102,0.658,-0.571,0.216,-0.231,-0.035,0.8,0.151,0.58,1275
