ViewIndex,FOV1,FOV2,FOV3,FOV4,PositionX,PositionY,PositionZ,QuaternionX,QuaternionY,QuaternionZ,QuaternionW,GazePosX,GazePosY,GazePosZ,GazeQX,GazeQY,GazeQZ,GazeQW,Timestamp
0,-0.942,0.698,-0.942,0.733,0.424,0.628,0.681,0.186,0.02,0.017,0.982,0.47,0.625,0.668,0.077,0.085,0.034,0.993,0
1,-0.698,0.942,-0.942,0.733,0.592,0.635,0.675,0.186,0.02,0.017,0.982,0.645,0.628,0.669,0.078,0.111,0.041,0.99,6
0,-0.942,0.698,-0.942,0.733,0.409,0.63,0.682,0.19,0.027,0.019,0.981,0.454,0.627,0.672,0.079,0.091,0.037,0.992,28
1,-0.698,0.942,-0.942,0.733,0.577,0.638,0.674,0.19,0.027,0.019,0.981,0.629,0.631,0.671,0.079,0.117,0.045,0.989,34
0,-0.942,0.698,-0.942,0.733,0.396,0.63,0.683,0.194,0.033,0.019,0.98,0.436,0.628,0.676,0.08,0.141,0.053,0.985,56
1,-0.698,0.942,-0.942,0.733,0.564,0.639,0.673,0.194,0.033,0.019,0.98,0.611,0.633,0.672,0.081,0.166,0.061,0.981,61
0,-0.942,0.698,-0.942,0.733,0.384,0.633,0.684,0.195,0.038,0.02,0.98,0.421,0.629,0.678,0.084,0.164,0.061,0.981,84
1,-0.698,0.942,-0.942,0.733,0.551,0.642,0.673,0.195,0.038,0.02,0.98,0.596,0.635,0.672,0.085,0.189,0.068,0.976,89
0,-0.942,0.698,-0.942,0.733,0.373,0.636,0.685,0.195,0.042,0.022,0.98,0.406,0.63,0.68,0.086,0.17,0.064,0.98,111
1,-0.698,0.942,-0.942,0.733,0.54,0.645,0.672,0.195,0.042,0.022,0.98,0.581,0.638,0.672,0.087,0.195,0.071,0.974,117
0,-0.942,0.698,-0.942,0.733,0.361,0.636,0.685,0.195,0.046,0.022,0.979,0.393,0.632,0.682,0.087,0.175,0.066,0.978,139
1,-0.698,0.942,-0.942,0.733,0.528,0.647,0.671,0.195,0.046,0.022,0.979,0.568,0.64,0.672,0.088,0.2,0.073,0.973,145
0,-0.942,0.698,-0.942,0.733,0.35,0.637,0.684,0.197,0.052,0.022,0.979,0.383,0.633,0.683,0.084,0.172,0.066,0.979,167
1,-0.698,0.942,-0.942,0.733,0.517,0.647,0.669,0.197,0.052,0.022,0.979,0.558,0.642,0.672,0.085,0.197,0.073,0.974,173
0,-0.942,0.698,-0.942,0.733,0.34,0.638,0.683,0.201,0.058,0.024,0.978,0.369,0.635,0.684,0.086,0.163,0.063,0.981,195
1,-0.698,0.942,-0.942,0.733,0.506,0.65,0.666,0.201,0.058,0.024,0.978,0.544,0.644,0.671,0.087,0.188,0.071,0.976,201
0,-0.942,0.698,-0.942,0.733,0.329,0.639,0.682,0.204,0.064,0.027,0.977,0.357,0.636,0.684,0.089,0.159,0.063,0.981,223
1,-0.698,0.942,-0.942,0.733,0.496,0.652,0.663,0.204,0.064,0.027,0.977,0.532,0.646,0.669,0.089,0.184,0.07,0.976,228
0,-0.942,0.698,-0.942,0.733,0.319,0.639,0.681,0.205,0.07,0.029,0.976,0.35,0.636,0.684,0.09,0.162,0.064,0.981,251
1,-0.698,0.942,-0.942,0.733,0.485,0.653,0.66,0.205,0.07,0.029,0.976,0.525,0.648,0.668,0.091,0.187,0.072,0.975,256
0,-0.942,0.698,-0.942,0.733,0.31,0.639,0.68,0.204,0.077,0.03,0.975,0.336,0.637,0.683,0.116,0.185,0.068,0.974,279
1,-0.698,0.942,-0.942,0.733,0.476,0.654,0.657,0.204,0.077,0.03,0.975,0.51,0.65,0.665,0.116,0.21,0.075,0.968,284
0,-0.942,0.698,-0.942,0.733,0.302,0.64,0.68,0.203,0.082,0.03,0.975,0.326,0.637,0.683,0.117,0.191,0.07,0.972,307
1,-0.698,0.942,-0.942,0.733,0.468,0.656,0.655,0.203,0.082,0.03,0.975,0.5,0.651,0.662,0.117,0.216,0.077,0.966,312
0,-0.942,0.698,-0.942,0.733,0.294,0.642,0.678,0.202,0.086,0.031,0.975,0.318,0.638,0.682,0.121,0.195,0.07,0.971,335
1,-0.698,0.942,-0.942,0.733,0.46,0.658,0.652,0.202,0.086,0.031,0.975,0.492,0.653,0.66,0.121,0.22,0.077,0.965,340
0,-0.942,0.698,-0.942,0.733,0.286,0.643,0.676,0.204,0.089,0.032,0.974,0.309,0.639,0.681,0.122,0.194,0.069,0.971,362
1,-0.698,0.942,-0.942,0.733,0.452,0.66,0.649,0.204,0.089,0.032,0.974,0.482,0.654,0.657,0.122,0.219,0.076,0.965,368
0,-0.942,0.698,-0.942,0.733,0.279,0.645,0.673,0.209,0.093,0.036,0.973,0.299,0.641,0.679,0.123,0.193,0.07,0.971,390
1,-0.698,0.942,-0.942,0.733,0.444,0.664,0.645,0.209,0.093,0.036,0.973,0.472,0.657,0.654,0.123,0.218,0.077,0.965,396
0,-0.942,0.698,-0.942,0.733,0.272,0.647,0.671,0.212,0.097,0.038,0.972,0.291,0.642,0.677,0.125,0.186,0.069,0.972,418
1,-0.698,0.942,-0.942,0.733,0.436,0.666,0.642,0.212,0.097,0.038,0.972,0.464,0.66,0.65,0.125,0.211,0.077,0.966,424
0,-0.942,0.698,-0.942,0.733,0.265,0.649,0.669,0.213,0.1,0.039,0.971,0.285,0.644,0.676,0.123,0.188,0.072,0.972,446
1,-0.698,0.942,-0.942,0.733,0.429,0.668,0.639,0.213,0.1,0.039,0.971,0.457,0.661,0.648,0.123,0.213,0.079,0.966,452
0,-0.942,0.698,-0.942,0.733,0.259,0.65,0.667,0.214,0.104,0.039,0.97,0.275,0.645,0.673,0.126,0.192,0.074,0.97,474
1,-0.698,0.942,-0.942,0.733,0.423,0.67,0.636,0.214,0.104,0.039,0.97,0.447,0.664,0.644,0.125,0.217,0.081,0.965,479
0,-0.942,0.698,-0.942,0.733,0.253,0.651,0.665,0.214,0.109,0.039,0.97,0.269,0.646,0.672,0.127,0.187,0.073,0.971,502
1,-0.698,0.942,-0.942,0.733,0.417,0.671,0.632,0.214,0.109,0.039,0.97,0.441,0.666,0.642,0.127,0.212,0.08,0.966,507
0,-0.942,0.698,-0.942,0.733,0.248,0.651,0.66,0.212,0.112,0.039,0.97,0.262,0.648,0.67,0.124,0.189,0.074,0.971,530
1,-0.698,0.942,-0.942,0.733,0.411,0.671,0.627,0.212,0.112,0.039,0.97,0.434,0.668,0.638,0.124,0.214,0.082,0.965,535
0,-0.942,0.698,-0.942,0.733,0.243,0.651,0.655,0.208,0.114,0.039,0.971,0.256,0.649,0.667,0.124,0.19,0.074,0.971,558
1,-0.698,0.942,-0.942,0.733,0.406,0.671,0.621,0.208,0.114,0.039,0.971,0.427,0.669,0.634,0.124,0.215,0.082,0.965,563
0,-0.942,0.698,-0.942,0.733,0.238,0.65,0.649,0.203,0.115,0.038,0.972,0.251,0.649,0.664,0.122,0.185,0.072,0.972,585
1,-0.698,0.942,-0.942,0.733,0.401,0.671,0.614,0.203,0.115,0.038,0.972,0.422,0.67,0.631,0.122,0.21,0.08,0.967,591
0,-0.942,0.698,-0.942,0.733,0.234,0.649,0.64,0.193,0.114,0.037,0.974,0.244,0.65,0.658,0.1,0.162,0.068,0.979,613
1,-0.698,0.942,-0.942,0.733,0.397,0.668,0.605,0.193,0.114,0.037,0.974,0.415,0.671,0.623,0.1,0.188,0.076,0.974,619
0,-0.942,0.698,-0.942,0.733,0.23,0.647,0.633,0.181,0.111,0.035,0.977,0.239,0.65,0.653,0.094,0.163,0.067,0.98,641
1,-0.698,0.942,-0.942,0.733,0.393,0.665,0.598,0.181,0.111,0.035,0.977,0.41,0.671,0.617,0.094,0.189,0.075,0.975,647
0,-0.942,0.698,-0.942,0.733,0.226,0.647,0.626,0.172,0.108,0.034,0.979,0.235,0.649,0.647,0.045,0.107,0.054,0.992,669
1,-0.698,0.942,-0.942,0.733,0.39,0.665,0.592,0.172,0.108,0.034,0.979,0.405,0.669,0.611,0.045,0.134,0.063,0.988,675
0,-0.942,0.698,-0.942,0.733,0.223,0.649,0.618,0.166,0.104,0.033,0.98,0.23,0.649,0.639,0.038,0.09,0.047,0.994,697
