ViewIndex,FOV1,FOV2,FOV3,FOV4,PositionX,PositionY,PositionZ,QuaternionX,QuaternionY,QuaternionZ,QuaternionW,GazePosX,GazePosY,GazePosZ,GazeQX,GazeQY,GazeQZ,GazeQW,Timestamp
0,-0.942,0.698,-0.942,0.733,0.495,-1.679,3.319,-0.398,-0.013,-0.006,-0.917,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1,-0.698,0.942,-0.942,0.733,0.62,-1.676,3.317,-0.398,-0.013,-0.006,-0.917,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5
0,-0.942,0.698,-0.942,0.733,0.504,-1.673,3.313,-0.399,-0.003,0.0,-0.917,0.0,0.0,0.0,0.0,0.0,0.0,1.0,28
1,-0.698,0.942,-0.942,0.733,0.628,-1.673,3.312,-0.399,-0.003,0.0,-0.917,0.0,0.0,0.0,0.0,0.0,0.0,1.0,33
0,-0.942,0.698,-0.942,0.733,0.512,-1.669,3.307,-0.4,0.007,0.007,-0.916,0.0,0.0,0.0,0.0,0.0,0.0,1.0,56
1,-0.698,0.942,-0.942,0.733,0.636,-1.671,3.308,-0.4,0.007,0.007,-0.916,0.0,0.0,0.0,0.0,0.0,0.0,1.0,61
0,-0.942,0.698,-0.942,0.733,0.521,-1.661,3.303,-0.412,0.02,0.009,-0.911,0.0,0.0,0.0,0.0,0.0,0.0,1.0,83
1,-0.698,0.942,-0.942,0.733,0.646,-1.665,3.307,-0.412,0.02,0.009,-0.911,0.0,0.0,0.0,0.0,0.0,0.0,1.0,89
0,-0.942,0.698,-0.942,0.733,0.532,-1.654,3.302,-0.426,0.034,0.009,-0.904,0.0,0.0,0.0,0.0,0.0,0.0,1.0,111
1,-0.698,0.942,-0.942,0.733,0.656,-1.66,3.308,-0.426,0.034,0.009,-0.904,0.0,0.0,0.0,0.0,0.0,0.0,1.0,116
0,-0.942,0.698,-0.942,0.733,0.54,-1.65,3.303,-0.441,0.048,0.013,-0.896,0.0,0.0,0.0,0.0,0.0,0.0,1.0,139
1,-0.698,0.942,-0.942,0.733,0.664,-1.658,3.312,-0.441,0.048,0.013,-0.896,0.0,0.0,0.0,0.0,0.0,0.0,1.0,144
0,-0.942,0.698,-0.942,0.733,0.547,-1.65,3.305,-0.445,0.06,0.017,-0.893,0.0,0.0,0.0,0.0,0.0,0.0,1.0,167
1,-0.698,0.942,-0.942,0.733,0.67,-1.66,3.317,-0.445,0.06,0.017,-0.893,0.0,0.0,0.0,0.0,0.0,0.0,1.0,171
0,-0.942,0.698,-0.942,0.733,0.554,-1.649,3.306,-0.443,0.071,0.018,-0.894,0.0,0.0,0.0,0.0,0.0,0.0,1.0,195
1,-0.698,0.942,-0.942,0.733,0.677,-1.661,3.32,-0.443,0.071,0.018,-0.894,0.0,0.0,0.0,0.0,0.0,0.0,1.0,200
0,-0.942,0.698,-0.942,0.733,0.56,-1.647,3.307,-0.442,0.083,0.019,-0.893,0.0,0.0,0.0,0.0,0.0,0.0,1.0,223
1,-0.698,0.942,-0.942,0.733,0.683,-1.661,3.323,-0.442,0.083,0.019,-0.893,0.0,0.0,0.0,0.0,0.0,0.0,1.0,228
0,-0.942,0.698,-0.942,0.733,0.566,-1.647,3.307,-0.44,0.095,0.021,-0.893,0.0,0.0,0.0,0.0,0.0,0.0,1.0,250
1,-0.698,0.942,-0.942,0.733,0.689,-1.662,3.326,-0.44,0.095,0.021,-0.893,0.0,0.0,0.0,0.0,0.0,0.0,1.0,255
0,-0.942,0.698,-0.942,0.733,0.573,-1.646,3.306,-0.437,0.106,0.021,-0.893,0.0,0.0,0.0,0.0,0.0,0.0,1.0,278
1,-0.698,0.942,-0.942,0.733,0.695,-1.662,3.327,-0.437,0.106,0.021,-0.893,0.0,0.0,0.0,0.0,0.0,0.0,1.0,283
0,-0.942,0.698,-0.942,0.733,0.58,-1.647,3.305,-0.435,0.118,0.023,-0.892,0.0,0.0,0.0,0.0,0.0,0.0,1.0,306
1,-0.698,0.942,-0.942,0.733,0.701,-1.665,3.329,-0.435,0.118,0.023,-0.892,0.0,0.0,0.0,0.0,0.0,0.0,1.0,311
0,-0.942,0.698,-0.942,0.733,0.587,-1.648,3.304,-0.43,0.13,0.025,-0.893,0.0,0.0,0.0,0.0,0.0,0.0,1.0,334
1,-0.698,0.942,-0.942,0.733,0.707,-1.668,3.33,-0.43,0.13,0.025,-0.893,0.0,0.0,0.0,0.0,0.0,0.0,1.0,339
0,-0.942,0.698,-0.942,0.733,0.594,-1.65,3.304,-0.423,0.142,0.027,-0.894,0.0,0.0,0.0,0.0,0.0,0.0,1.0,362
1,-0.698,0.942,-0.942,0.733,0.713,-1.671,3.332,-0.423,0.142,0.027,-0.894,0.0,0.0,0.0,0.0,0.0,0.0,1.0,367
0,-0.942,0.698,-0.942,0.733,0.601,-1.653,3.303,-0.415,0.153,0.029,-0.896,0.0,0.0,0.0,0.0,0.0,0.0,1.0,389
1,-0.698,0.942,-0.942,0.733,0.719,-1.675,3.334,-0.415,0.153,0.029,-0.896,0.0,0.0,0.0,0.0,0.0,0.0,1.0,395
