ViewIndex,FOV1,FOV2,FOV3,FOV4,PositionX,PositionY,PositionZ,QuaternionX,QuaternionY,QuaternionZ,QuaternionW,GazePosX,GazePosY,GazePosZ,GazeQX,GazeQY,GazeQZ,GazeQW,Timestamp
0,-0.942,0.698,-0.942,0.733,1.104,-2.456,1.072,-0.54,0.104,0.063,-0.833,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1,-0.698,0.942,-0.942,0.733,1.164,-2.469,1.078,-0.54,0.104,0.063,-0.833,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6
0,-0.942,0.698,-0.942,0.733,1.104,-2.456,1.073,-0.542,0.107,0.067,-0.831,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14
1,-0.698,0.942,-0.942,0.733,1.164,-2.47,1.08,-0.542,0.107,0.067,-0.831,0.0,0.0,0.0,0.0,0.0,0.0,1.0,20
0,-0.942,0.698,-0.942,0.733,1.104,-2.456,1.074,-0.543,0.111,0.071,-0.83,0.0,0.0,0.0,0.0,0.0,0.0,1.0,28
1,-0.698,0.942,-0.942,0.733,1.164,-2.471,1.081,-0.543,0.111,0.071,-0.83,0.0,0.0,0.0,0.0,0.0,0.0,1.0,35
0,-0.942,0.698,-0.942,0.733,1.104,-2.457,1.075,-0.544,0.115,0.075,-0.828,0.0,0.0,0.0,0.0,0.0,0.0,1.0,42
1,-0.698,0.942,-0.942,0.733,1.164,-2.473,1.082,-0.544,0.115,0.075,-0.828,0.0,0.0,0.0,0.0,0.0,0.0,1.0,49
0,-0.942,0.698,-0.942,0.733,1.104,-2.458,1.075,-0.545,0.118,0.078,-0.826,0.0,0.0,0.0,0.0,0.0,0.0,1.0,56
1,-0.698,0.942,-0.942,0.733,1.164,-2.474,1.082,-0.545,0.118,0.078,-0.826,0.0,0.0,0.0,0.0,0.0,0.0,1.0,62
0,-0.942,0.698,-0.942,0.733,1.104,-2.458,1.075,-0.544,0.123,0.079,-0.826,0.0,0.0,0.0,0.0,0.0,0.0,1.0,70
1,-0.698,0.942,-0.942,0.733,1.163,-2.475,1.083,-0.544,0.123,0.079,-0.826,0.0,0.0,0.0,0.0,0.0,0.0,1.0,76
