ViewIndex,FOV1,FOV2,FOV3,FOV4,PositionX,PositionY,PositionZ,QuaternionX,QuaternionY,QuaternionZ,QuaternionW,GazePosX,GazePosY,GazePosZ,GazeQX,GazeQY,GazeQZ,GazeQW,Timestamp
0,-0.942,0.698,-0.942,0.733,0.659,0.121,1.339,0.049,0.758,-0.104,0.642,0.658,0.122,1.337,-0.008,0.772,-0.026,0.635,0
1,-0.698,0.942,-0.942,0.733,0.655,0.12,1.317,0.049,0.758,-0.104,0.642,0.656,0.12,1.313,-0.003,0.789,-0.023,0.614,3
0,-0.942,0.698,-0.942,0.733,0.659,0.121,1.34,0.049,0.763,-0.103,0.636,0.658,0.122,1.337,-0.008,0.774,-0.025,0.633,14
1,-0.698,0.942,-0.942,0.733,0.655,0.12,1.318,0.049,0.763,-0.103,0.636,0.656,0.12,1.314,-0.003,0.791,-0.023,0.612,18
0,-0.942,0.698,-0.942,0.733,0.659,0.121,1.34,0.049,0.768,-0.103,0.631,0.658,0.122,1.337,-0.008,0.774,-0.025,0.633,28
1,-0.698,0.942,-0.942,0.733,0.654,0.12,1.318,0.049,0.768,-0.103,0.631,0.656,0.12,1.314,-0.003,0.791,-0.023,0.612,32
0,-0.942,0.698,-0.942,0.733,0.659,0.121,1.341,0.049,0.772,-0.103,0.625,0.658,0.121,1.339,-0.011,0.769,-0.028,0.639,42
1,-0.698,0.942,-0.942,0.733,0.654,0.12,1.319,0.049,0.772,-0.103,0.625,0.655,0.12,1.316,-0.006,0.786,-0.025,0.618,45
0,-0.942,0.698,-0.942,0.733,0.659,0.121,1.342,0.049,0.776,-0.104,0.62,0.659,0.121,1.339,-0.011,0.773,-0.027,0.634,56
1,-0.698,0.942,-0.942,0.733,0.654,0.12,1.319,0.049,0.776,-0.104,0.62,0.655,0.12,1.316,-0.006,0.79,-0.024,0.613,59
0,-0.942,0.698,-0.942,0.733,0.659,0.121,1.342,0.049,0.78,-0.104,0.614,0.659,0.121,1.34,0.002,0.817,-0.019,0.576,70
1,-0.698,0.942,-0.942,0.733,0.654,0.12,1.32,0.049,0.78,-0.104,0.614,0.655,0.12,1.317,0.007,0.832,-0.017,0.555,73
0,-0.942,0.698,-0.942,0.733,0.659,0.121,1.343,0.05,0.785,-0.104,0.609,0.659,0.121,1.34,0.002,0.82,-0.019,0.571,84
1,-0.698,0.942,-0.942,0.733,0.654,0.12,1.321,0.05,0.785,-0.104,0.609,0.654,0.12,1.317,0.007,0.835,-0.017,0.55,87
0,-0.942,0.698,-0.942,0.733,0.66,0.121,1.343,0.05,0.789,-0.104,0.604,0.659,0.121,1.341,0.003,0.824,-0.019,0.566,98
1,-0.698,0.942,-0.942,0.733,0.654,0.12,1.321,0.05,0.789,-0.104,0.604,0.654,0.12,1.318,0.008,0.839,-0.016,0.544,102
0,-0.942,0.698,-0.942,0.733,0.66,0.121,1.344,0.05,0.793,-0.104,0.599,0.659,0.121,1.341,0.006,0.838,-0.015,0.546,112
1,-0.698,0.942,-0.942,0.733,0.653,0.12,1.322,0.05,0.793,-0.104,0.599,0.654,0.12,1.318,0.011,0.852,-0.013,0.524,115
0,-0.942,0.698,-0.942,0.733,0.66,0.121,1.344,0.049,0.797,-0.104,0.594,0.659,0.121,1.342,0.007,0.842,-0.015,0.539,126
1,-0.698,0.942,-0.942,0.733,0.653,0.12,1.322,0.049,0.797,-0.104,0.594,0.654,0.12,1.319,0.012,0.856,-0.013,0.517,129
0,-0.942,0.698,-0.942,0.733,0.66,0.121,1.344,0.049,0.8,-0.103,0.588,0.659,0.121,1.342,0.007,0.846,-0.015,0.533,140
1,-0.698,0.942,-0.942,0.733,0.653,0.12,1.323,0.049,0.8,-0.103,0.588,0.654,0.12,1.32,0.013,0.859,-0.013,0.511,143
0,-0.942,0.698,-0.942,0.733,0.66,0.121,1.345,0.049,0.804,-0.103,0.583,0.66,0.121,1.343,0.008,0.849,-0.014,0.527,154
1,-0.698,0.942,-0.942,0.733,0.653,0.12,1.323,0.049,0.804,-0.103,0.583,0.654,0.12,1.32,0.013,0.863,-0.012,0.505,157
0,-0.942,0.698,-0.942,0.733,0.66,0.121,1.345,0.05,0.808,-0.103,0.578,0.66,0.121,1.343,0.008,0.853,-0.014,0.522,168
1,-0.698,0.942,-0.942,0.733,0.653,0.12,1.324,0.05,0.808,-0.103,0.578,0.653,0.12,1.321,0.014,0.866,-0.012,0.5,171
0,-0.942,0.698,-0.942,0.733,0.661,0.121,1.346,0.049,0.811,-0.103,0.573,0.66,0.121,1.344,0.008,0.847,-0.018,0.531,182
1,-0.698,0.942,-0.942,0.733,0.653,0.12,1.324,0.049,0.811,-0.103,0.573,0.653,0.12,1.321,0.013,0.861,-0.016,0.508,185
0,-0.942,0.698,-0.942,0.733,0.661,0.121,1.346,0.049,0.815,-0.103,0.568,0.66,0.121,1.344,0.008,0.851,-0.018,0.525,195
1,-0.698,0.942,-0.942,0.733,0.653,0.12,1.325,0.049,0.815,-0.103,0.568,0.653,0.12,1.322,0.013,0.864,-0.016,0.503,199
0,-0.942,0.698,-0.942,0.733,0.661,0.121,1.346,0.05,0.818,-0.102,0.564,0.66,0.121,1.345,0.008,0.846,-0.022,0.533,210
1,-0.698,0.942,-0.942,0.733,0.653,0.12,1.325,0.05,0.818,-0.102,0.564,0.653,0.12,1.323,0.013,0.859,-0.02,0.511,213
0,-0.942,0.698,-0.942,0.733,0.661,0.12,1.347,0.049,0.821,-0.102,0.559,0.66,0.121,1.345,0.008,0.849,-0.022,0.528,223
1,-0.698,0.942,-0.942,0.733,0.653,0.12,1.326,0.049,0.821,-0.102,0.559,0.653,0.12,1.323,0.014,0.863,-0.019,0.505,227
0,-0.942,0.698,-0.942,0.733,0.661,0.12,1.347,0.049,0.825,-0.101,0.554,0.661,0.121,1.346,0.005,0.84,-0.024,0.542,237
1,-0.698,0.942,-0.942,0.733,0.653,0.12,1.326,0.049,0.825,-0.101,0.554,0.653,0.12,1.323,0.01,0.854,-0.022,0.52,241
0,-0.942,0.698,-0.942,0.733,0.662,0.12,1.347,0.049,0.827,-0.101,0.55,0.661,0.121,1.346,0.006,0.844,-0.024,0.536,251
1,-0.698,0.942,-0.942,0.733,0.653,0.12,1.327,0.049,0.827,-0.101,0.55,0.653,0.12,1.324,0.011,0.858,-0.021,0.513,255
0,-0.942,0.698,-0.942,0.733,0.662,0.12,1.348,0.048,0.83,-0.101,0.546,0.661,0.121,1.346,0.006,0.847,-0.023,0.532,265
1,-0.698,0.942,-0.942,0.733,0.653,0.12,1.327,0.048,0.83,-0.101,0.546,0.653,0.12,1.325,0.011,0.861,-0.021,0.509,269
0,-0.942,0.698,-0.942,0.733,0.662,0.12,1.348,0.048,0.832,-0.1,0.543,0.661,0.12,1.347,0.004,0.843,-0.024,0.537,279
1,-0.698,0.942,-0.942,0.733,0.653,0.12,1.327,0.048,0.832,-0.1,0.543,0.653,0.12,1.325,0.009,0.857,-0.021,0.514,283
0,-0.942,0.698,-0.942,0.733,0.662,0.12,1.348,0.048,0.835,-0.1,0.539,0.661,0.12,1.347,0.004,0.846,-0.023,0.533,293
1,-0.698,0.942,-0.942,0.733,0.653,0.12,1.328,0.048,0.835,-0.1,0.539,0.653,0.12,1.325,0.009,0.86,-0.021,0.51,296
0,-0.942,0.698,-0.942,0.733,0.662,0.12,1.348,0.048,0.837,-0.1,0.536,0.662,0.12,1.347,-0.005,0.837,-0.017,0.547,307
1,-0.698,0.942,-0.942,0.733,0.653,0.12,1.328,0.048,0.837,-0.1,0.536,0.653,0.12,1.326,0.001,0.852,-0.014,0.524,311
0,-0.942,0.698,-0.942,0.733,0.662,0.12,1.349,0.048,0.839,-0.1,0.533,0.662,0.12,1.348,-0.004,0.84,-0.016,0.543,321
1,-0.698,0.942,-0.942,0.733,0.652,0.12,1.328,0.048,0.839,-0.1,0.533,0.653,0.12,1.326,0.001,0.854,-0.013,0.52,324
0,-0.942,0.698,-0.942,0.733,0.662,0.12,1.349,0.048,0.84,-0.1,0.531,0.662,0.12,1.348,-0.004,0.842,-0.015,0.539,335
1,-0.698,0.942,-0.942,0.733,0.652,0.12,1.328,0.048,0.84,-0.1,0.531,0.653,0.12,1.327,0.001,0.857,-0.013,0.516,339
0,-0.942,0.698,-0.942,0.733,0.662,0.12,1.349,0.048,0.842,-0.1,0.528,0.662,0.12,1.348,-0.008,0.838,-0.014,0.545,349
1,-0.698,0.942,-0.942,0.733,0.652,0.12,1.329,0.048,0.842,-0.1,0.528,0.653,0.12,1.327,-0.003,0.853,-0.011,0.523,353
0,-0.942,0.698,-0.942,0.733,0.662,0.12,1.349,0.048,0.843,-0.099,0.526,0.662,0.12,1.349,-0.008,0.84,-0.013,0.542,363
1,-0.698,0.942,-0.942,0.733,0.652,0.12,1.329,0.048,0.843,-0.099,0.526,0.652,0.12,1.327,-0.002,0.855,-0.011,0.519,367
0,-0.942,0.698,-0.942,0.733,0.662,0.12,1.349,0.049,0.844,-0.099,0.524,0.662,0.12,1.349,-0.009,0.841,-0.011,0.541,377
1,-0.698,0.942,-0.942,0.733,0.652,0.12,1.329,0.049,0.844,-0.099,0.524,0.652,0.12,1.327,-0.004,0.855,-0.008,0.519,380
0,-0.942,0.698,-0.942,0.733,0.662,0.12,1.349,0.049,0.845,-0.1,0.522,0.662,0.12,1.349,-0.009,0.842,-0.011,0.539,391
1,-0.698,0.942,-0.942,0.733,0.652,0.12,1.329,0.049,0.845,-0.1,0.522,0.652,0.12,1.328,-0.004,0.857,-0.008,0.516,394
0,-0.942,0.698,-0.942,0.733,0.662,0.12,1.349,0.049,0.846,-0.1,0.521,0.662,0.12,1.349,-0.012,0.835,-0.012,0.55,405
1,-0.698,0.942,-0.942,0.733,0.652,0.12,1.329,0.049,0.846,-0.1,0.521,0.652,0.12,1.328,-0.007,0.85,-0.009,0.527,408
0,-0.942,0.698,-0.942,0.733,0.662,0.12,1.35,0.049,0.847,-0.1,0.52,0.662,0.12,1.349,-0.012,0.837,-0.011,0.547,419
1,-0.698,0.942,-0.942,0.733,0.652,0.12,1.329,0.049,0.847,-0.1,0.52,0.652,0.12,1.328,-0.007,0.851,-0.008,0.524,422
0,-0.942,0.698,-0.942,0.733,0.662,0.12,1.35,0.049,0.847,-0.1,0.519,0.662,0.12,1.349,-0.012,0.838,-0.011,0.545,433
1,-0.698,0.942,-0.942,0.733,0.652,0.12,1.329,0.049,0.847,-0.1,0.519,0.652,0.12,1.328,-0.006,0.852,-0.008,0.523,436
0,-0.942,0.698,-0.942,0.733,0.662,0.12,1.35,0.049,0.848,-0.1,0.519,0.662,0.12,1.35,-0.028,0.832,0.009,0.554,447
1,-0.698,0.942,-0.942,0.733,0.652,0.12,1.33,0.049,0.848,-0.1,0.519,0.652,0.12,1.329,-0.023,0.847,0.012,0.532,451
0,-0.942,0.698,-0.942,0.733,0.662,0.12,1.35,0.049,0.848,-0.1,0.518,0.662,0.12,1.35,-0.028,0.832,0.009,0.553,461
1,-0.698,0.942,-0.942,0.733,0.652,0.12,1.33,0.049,0.848,-0.1,0.518,0.652,0.12,1.329,-0.022,0.847,0.013,0.53,464
0,-0.942,0.698,-0.942,0.733,0.662,0.12,1.35,0.049,0.848,-0.1,0.518,0.662,0.12,1.35,-0.03,0.829,0.008,0.559,475
1,-0.698,0.942,-0.942,0.733,0.652,0.12,1.33,0.049,0.848,-0.1,0.518,0.652,0.12,1.329,-0.024,0.844,0.012,0.536,478
0,-0.942,0.698,-0.942,0.733,0.662,0.12,1.35,0.047,0.848,-0.101,0.518,0.662,0.12,1.35,-0.03,0.829,0.008,0.558,489
1,-0.698,0.942,-0.942,0.733,0.652,0.12,1.33,0.047,0.848,-0.101,0.518,0.652,0.12,1.329,-0.024,0.844,0.012,0.535,492
0,-0.942,0.698,-0.942,0.733,0.662,0.12,1.35,0.047,0.847,-0.101,0.519,0.662,0.12,1.35,-0.03,0.83,0.008,0.557,503
1,-0.698,0.942,-0.942,0.733,0.652,0.12,1.33,0.047,0.847,-0.101,0.519,0.652,0.12,1.329,-0.024,0.845,0.012,0.534,506
0,-0.942,0.698,-0.942,0.733,0.662,0.12,1.35,0.047,0.847,-0.101,0.521,0.662,0.12,1.35,-0.032,0.824,0.006,0.565,517
1,-0.698,0.942,-0.942,0.733,0.652,0.12,1.33,0.047,0.847,-0.101,0.521,0.652,0.12,1.329,-0.026,0.84,0.01,0.543,520
0,-0.942,0.698,-0.942,0.733,0.662,0.12,1.35,0.045,0.845,-0.102,0.523,0.662,0.12,1.35,-0.032,0.824,0.006,0.565,531
1,-0.698,0.942,-0.942,0.733,0.652,0.12,1.33,0.045,0.845,-0.102,0.523,0.652,0.12,1.329,-0.027,0.84,0.01,0.543,534
0,-0.942,0.698,-0.942,0.733,0.662,0.12,1.35,0.045,0.843,-0.101,0.526,0.662,0.12,1.35,-0.033,0.82,0.003,0.571,545
1,-0.698,0.942,-0.942,0.733,0.651,0.12,1.33,0.045,0.843,-0.101,0.526,0.652,0.12,1.329,-0.027,0.835,0.007,0.549,548
0,-0.942,0.698,-0.942,0.733,0.661,0.12,1.35,0.045,0.841,-0.101,0.529,0.662,0.12,1.35,-0.034,0.819,0.003,0.572,558
1,-0.698,0.942,-0.942,0.733,0.651,0.12,1.329,0.045,0.841,-0.101,0.529,0.652,0.12,1.329,-0.028,0.835,0.006,0.55,562
0,-0.942,0.698,-0.942,0.733,0.661,0.121,1.349,0.045,0.838,-0.101,0.534,0.662,0.12,1.35,-0.034,0.816,0.001,0.577,572
1,-0.698,0.942,-0.942,0.733,0.651,0.12,1.329,0.045,0.838,-0.101,0.534,0.651,0.12,1.329,-0.029,0.831,0.005,0.555,576
0,-0.942,0.698,-0.942,0.733,0.661,0.121,1.349,0.045,0.835,-0.101,0.539,0.662,0.12,1.35,-0.035,0.814,0.001,0.58,586
1,-0.698,0.942,-0.942,0.733,0.651,0.12,1.329,0.045,0.835,-0.101,0.539,0.651,0.12,1.329,-0.03,0.83,0.005,0.557,589
0,-0.942,0.698,-0.942,0.733,0.66,0.121,1.349,0.045,0.831,-0.101,0.545,0.662,0.12,1.35,-0.036,0.812,0.001,0.582,600
1,-0.698,0.942,-0.942,0.733,0.651,0.12,1.328,0.045,0.831,-0.101,0.545,0.651,0.12,1.329,-0.03,0.828,0.004,0.56,604
