ViewIndex,FOV1,FOV2,FOV3,FOV4,PositionX,PositionY,PositionZ,QuaternionX,QuaternionY,QuaternionZ,QuaternionW,GazePosX,GazePosY,GazePosZ,GazeQX,GazeQY,GazeQZ,GazeQW,Timestamp
0,-0.942,0.698,-0.942,0.733,-1.836,1.052,-2.459,-0.359,-0.091,-0.046,0.928,-1.843,1.056,-2.46,-0.43,-0.117,-0.051,0.894,0
1,-0.698,0.942,-0.942,0.733,-1.772,1.05,-2.446,-0.359,-0.091,-0.046,0.928,-1.779,1.054,-2.446,-0.429,-0.092,-0.059,0.897,2
0,-0.942,0.698,-0.942,0.733,-1.834,1.051,-2.458,-0.357,-0.089,-0.044,0.929,-1.842,1.055,-2.46,-0.431,-0.116,-0.05,0.894,14
1,-0.698,0.942,-0.942,0.733,-1.769,1.05,-2.445,-0.357,-0.089,-0.044,0.929,-1.778,1.054,-2.446,-0.43,-0.09,-0.058,0.897,16
0,-0.942,0.698,-0.942,0.733,-1.83,1.05,-2.457,-0.357,-0.085,-0.041,0.929,-1.84,1.054,-2.46,-0.428,-0.113,-0.048,0.895,28
1,-0.698,0.942,-0.942,0.733,-1.766,1.049,-2.444,-0.357,-0.085,-0.041,0.929,-1.776,1.053,-2.446,-0.427,-0.088,-0.056,0.898,30
0,-0.942,0.698,-0.942,0.733,-1.827,1.05,-2.455,-0.357,-0.081,-0.038,0.93,-1.838,1.054,-2.459,-0.43,-0.111,-0.047,0.895,42
1,-0.698,0.942,-0.942,0.733,-1.762,1.049,-2.443,-0.357,-0.081,-0.038,0.93,-1.774,1.052,-2.446,-0.43,-0.085,-0.055,0.897,44
0,-0.942,0.698,-0.942,0.733,-1.824,1.049,-2.454,-0.358,-0.079,-0.037,0.93,-1.836,1.053,-2.459,-0.429,-0.109,-0.045,0.896,56
1,-0.698,0.942,-0.942,0.733,-1.759,1.048,-2.442,-0.358,-0.079,-0.037,0.93,-1.772,1.052,-2.446,-0.428,-0.083,-0.053,0.898,58
0,-0.942,0.698,-0.942,0.733,-1.82,1.049,-2.452,-0.359,-0.076,-0.037,0.93,-1.833,1.052,-2.457,-0.428,-0.106,-0.042,0.896,70
1,-0.698,0.942,-0.942,0.733,-1.755,1.048,-2.441,-0.359,-0.076,-0.037,0.93,-1.769,1.051,-2.445,-0.427,-0.08,-0.05,0.899,72
0,-0.942,0.698,-0.942,0.733,-1.815,1.048,-2.451,-0.357,-0.073,-0.036,0.931,-1.83,1.051,-2.456,-0.43,-0.107,-0.04,0.896,84
1,-0.698,0.942,-0.942,0.733,-1.75,1.047,-2.44,-0.357,-0.073,-0.036,0.931,-1.766,1.05,-2.444,-0.429,-0.081,-0.048,0.898,85
0,-0.942,0.698,-0.942,0.733,-1.81,1.047,-2.449,-0.355,-0.069,-0.034,0.932,-1.827,1.05,-2.455,-0.429,-0.105,-0.039,0.896,97
1,-0.698,0.942,-0.942,0.733,-1.745,1.046,-2.439,-0.355,-0.069,-0.034,0.932,-1.763,1.049,-2.443,-0.428,-0.079,-0.046,0.899,99
0,-0.942,0.698,-0.942,0.733,-1.804,1.047,-2.448,-0.351,-0.064,-0.032,0.934,-1.823,1.05,-2.454,-0.431,-0.103,-0.037,0.896,111
1,-0.698,0.942,-0.942,0.733,-1.739,1.046,-2.439,-0.351,-0.064,-0.032,0.934,-1.759,1.049,-2.442,-0.43,-0.077,-0.044,0.898,113
0,-0.942,0.698,-0.942,0.733,-1.798,1.046,-2.447,-0.347,-0.062,-0.031,0.935,-1.819,1.049,-2.452,-0.429,-0.1,-0.035,0.897,125
1,-0.698,0.942,-0.942,0.733,-1.733,1.045,-2.438,-0.347,-0.062,-0.031,0.935,-1.755,1.048,-2.442,-0.429,-0.074,-0.043,0.899,127
0,-0.942,0.698,-0.942,0.733,-1.792,1.045,-2.447,-0.343,-0.06,-0.032,0.937,-1.814,1.048,-2.451,-0.427,-0.097,-0.033,0.898,139
1,-0.698,0.942,-0.942,0.733,-1.727,1.044,-2.438,-0.343,-0.06,-0.032,0.937,-1.75,1.047,-2.441,-0.427,-0.071,-0.041,0.901,141
0,-0.942,0.698,-0.942,0.733,-1.785,1.044,-2.446,-0.339,-0.058,-0.031,0.938,-1.81,1.048,-2.45,-0.427,-0.096,-0.032,0.899,153
1,-0.698,0.942,-0.942,0.733,-1.72,1.043,-2.437,-0.339,-0.058,-0.031,0.938,-1.745,1.047,-2.44,-0.426,-0.07,-0.039,0.901,155
0,-0.942,0.698,-0.942,0.733,-1.778,1.042,-2.445,-0.336,-0.056,-0.03,0.94,-1.804,1.047,-2.449,-0.424,-0.094,-0.031,0.9,167
1,-0.698,0.942,-0.942,0.733,-1.713,1.041,-2.436,-0.336,-0.056,-0.03,0.94,-1.74,1.046,-2.439,-0.423,-0.068,-0.038,0.903,169
0,-0.942,0.698,-0.942,0.733,-1.771,1.04,-2.444,-0.335,-0.053,-0.028,0.94,-1.798,1.046,-2.448,-0.422,-0.093,-0.029,0.901,181
1,-0.698,0.942,-0.942,0.733,-1.706,1.039,-2.436,-0.335,-0.053,-0.028,0.94,-1.734,1.045,-2.439,-0.421,-0.067,-0.036,0.904,183
0,-0.942,0.698,-0.942,0.733,-1.764,1.039,-2.442,-0.334,-0.05,-0.027,0.941,-1.792,1.045,-2.447,-0.419,-0.091,-0.028,0.903,195
1,-0.698,0.942,-0.942,0.733,-1.699,1.037,-2.435,-0.334,-0.05,-0.027,0.941,-1.728,1.044,-2.438,-0.419,-0.065,-0.035,0.905,197
0,-0.942,0.698,-0.942,0.733,-1.756,1.037,-2.441,-0.334,-0.046,-0.025,0.941,-1.786,1.043,-2.446,-0.422,-0.088,-0.027,0.902,209
1,-0.698,0.942,-0.942,0.733,-1.691,1.035,-2.434,-0.334,-0.046,-0.025,0.941,-1.721,1.042,-2.437,-0.421,-0.062,-0.034,0.904,211
0,-0.942,0.698,-0.942,0.733,-1.749,1.034,-2.44,-0.334,-0.042,-0.023,0.941,-1.78,1.042,-2.445,-0.42,-0.086,-0.026,0.903,223
