ViewIndex,FOV1,FOV2,FOV3,FOV4,PositionX,PositionY,PositionZ,QuaternionX,QuaternionY,QuaternionZ,QuaternionW,GazePosX,GazePosY,GazePosZ,GazeQX,GazeQY,GazeQZ,GazeQW,Timestamp
0,-0.942,0.698,-0.942,0.733,0.18,-0.46,1.678,-0.025,-0.002,0.054,0.998,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1,-0.698,0.942,-0.942,0.733,0.228,-0.455,1.678,-0.025,-0.002,0.054,0.998,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7
0,-0.942,0.698,-0.942,0.733,0.183,-0.462,1.671,-0.026,-0.007,0.047,0.999,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14
1,-0.698,0.942,-0.942,0.733,0.231,-0.457,1.671,-0.026,-0.007,0.047,0.999,0.0,0.0,0.0,0.0,0.0,0.0,1.0,20
0,-0.942,0.698,-0.942,0.733,0.185,-0.463,1.667,-0.027,-0.009,0.045,0.999,0.0,0.0,0.0,0.0,0.0,0.0,1.0,28
1,-0.698,0.942,-0.942,0.733,0.233,-0.458,1.668,-0.027,-0.009,0.045,0.999,0.0,0.0,0.0,0.0,0.0,0.0,1.0,34
0,-0.942,0.698,-0.942,0.733,0.186,-0.463,1.663,-0.026,-0.011,0.043,0.999,0.0,0.0,0.0,0.0,0.0,0.0,1.0,42
1,-0.698,0.942,-0.942,0.733,0.235,-0.459,1.664,-0.026,-0.011,0.043,0.999,0.0,0.0,0.0,0.0,0.0,0.0,1.0,48
0,-0.942,0.698,-0.942,0.733,0.188,-0.463,1.66,-0.025,-0.012,0.04,0.999,0.0,0.0,0.0,0.0,0.0,0.0,1.0,56
1,-0.698,0.942,-0.942,0.733,0.237,-0.459,1.661,-0.025,-0.012,0.04,0.999,0.0,0.0,0.0,0.0,0.0,0.0,1.0,63
0,-0.942,0.698,-0.942,0.733,0.191,-0.464,1.657,-0.025,-0.013,0.035,0.999,0.0,0.0,0.0,0.0,0.0,0.0,1.0,70
1,-0.698,0.942,-0.942,0.733,0.239,-0.461,1.658,-0.025,-0.013,0.035,0.999,0.0,0.0,0.0,0.0,0.0,0.0,1.0,76
0,-0.942,0.698,-0.942,0.733,0.193,-0.465,1.654,-0.025,-0.015,0.032,0.999,0.0,0.0,0.0,0.0,0.0,0.0,1.0,84
1,-0.698,0.942,-0.942,0.733,0.241,-0.462,1.656,-0.025,-0.015,0.032,0.999,0.0,0.0,0.0,0.0,0.0,0.0,1.0,90
0,-0.942,0.698,-0.942,0.733,0.195,-0.465,1.651,-0.026,-0.017,0.03,0.999,0.0,0.0,0.0,0.0,0.0,0.0,1.0,98
1,-0.698,0.942,-0.942,0.733,0.244,-0.462,1.653,-0.026,-0.017,0.03,0.999,0.0,0.0,0.0,0.0,0.0,0.0,1.0,104
0,-0.942,0.698,-0.942,0.733,0.198,-0.466,1.649,-0.027,-0.019,0.03,0.999,0.0,0.0,0.0,0.0,0.0,0.0,1.0,111
1,-0.698,0.942,-0.942,0.733,0.246,-0.463,1.651,-0.027,-0.019,0.03,0.999,0.0,0.0,0.0,0.0,0.0,0.0,1.0,118
0,-0.942,0.698,-0.942,0.733,0.2,-0.466,1.646,-0.026,-0.02,0.029,0.999,0.0,0.0,0.0,0.0,0.0,0.0,1.0,125
1,-0.698,0.942,-0.942,0.733,0.249,-0.464,1.648,-0.026,-0.02,0.029,0.999,0.0,0.0,0.0,0.0,0.0,0.0,1.0,132
0,-0.942,0.698,-0.942,0.733,0.203,-0.467,1.644,-0.025,-0.02,0.027,0.999,0.0,0.0,0.0,0.0,0.0,0.0,1.0,139
1,-0.698,0.942,-0.942,0.733,0.251,-0.464,1.646,-0.025,-0.02,0.027,0.999,0.0,0.0,0.0,0.0,0.0,0.0,1.0,146
0,-0.942,0.698,-0.942,0.733,0.205,-0.467,1.642,-0.025,-0.021,0.024,0.999,0.0,0.0,0.0,0.0,0.0,0.0,1.0,153
1,-0.698,0.942,-0.942,0.733,0.254,-0.465,1.644,-0.025,-0.021,0.024,0.999,0.0,0.0,0.0,0.0,0.0,0.0,1.0,160
0,-0.942,0.698,-0.942,0.733,0.208,-0.468,1.64,-0.024,-0.022,0.022,0.999,0.0,0.0,0.0,0.0,0.0,0.0,1.0,167
1,-0.698,0.942,-0.942,0.733,0.256,-0.466,1.642,-0.024,-0.022,0.022,0.999,0.0,0.0,0.0,0.0,0.0,0.0,1.0,174
0,-0.942,0.698,-0.942,0.733,0.211,-0.469,1.638,-0.024,-0.022,0.022,0.999,0.0,0.0,0.0,0.0,0.0,0.0,1.0,181
1,-0.698,0.942,-0.942,0.733,0.259,-0.467,1.64,-0.024,-0.022,0.022,0.999,0.0,0.0,0.0,0.0,0.0,0.0,1.0,188
0,-0.942,0.698,-0.942,0.733,0.214,-0.471,1.636,-0.023,-0.022,0.022,0.999,0.0,0.0,0.0,0.0,0.0,0.0,1.0,195
1,-0.698,0.942,-0.942,0.733,0.262,-0.469,1.638,-0.023,-0.022,0.022,0.999,0.0,0.0,0.0,0.0,0.0,0.0,1.0,201
0,-0.942,0.698,-0.942,0.733,0.216,-0.472,1.633,-0.023,-0.022,0.02,0.999,0.0,0.0,0.0,0.0,0.0,0.0,1.0,209
1,-0.698,0.942,-0.942,0.733,0.265,-0.47,1.636,-0.023,-0.022,0.02,0.999,0.0,0.0,0.0,0.0,0.0,0.0,1.0,216
0,-0.942,0.698,-0.942,0.733,0.219,-0.474,1.631,-0.023,-0.022,0.017,0.999,0.0,0.0,0.0,0.0,0.0,0.0,1.0,223
1,-0.698,0.942,-0.942,0.733,0.268,-0.472,1.634,-0.023,-0.022,0.017,0.999,0.0,0.0,0.0,0.0,0.0,0.0,1.0,230
0,-0.942,0.698,-0.942,0.733,0.222,-0.476,1.629,-0.024,-0.024,0.013,0.999,0.0,0.0,0.0,0.0,0.0,0.0,1.0,237
1,-0.698,0.942,-0.942,0.733,0.271,-0.475,1.632,-0.024,-0.024,0.013,0.999,0.0,0.0,0.0,0.0,0.0,0.0,1.0,243
0,-0.942,0.698,-0.942,0.733,0.226,-0.479,1.627,-0.025,-0.023,0.013,0.999,0.0,0.0,0.0,0.0,0.0,0.0,1.0,251
1,-0.698,0.942,-0.942,0.733,0.274,-0.478,1.63,-0.025,-0.023,0.013,0.999,0.0,0.0,0.0,0.0,0.0,0.0,1.0,257
0,-0.942,0.698,-0.942,0.733,0.229,-0.482,1.625,-0.026,-0.023,0.012,0.999,0.0,0.0,0.0,0.0,0.0,0.0,1.0,265
1,-0.698,0.942,-0.942,0.733,0.277,-0.48,1.628,-0.026,-0.023,0.012,0.999,0.0,0.0,0.0,0.0,0.0,0.0,1.0,271
0,-0.942,0.698,-0.942,0.733,0.232,-0.484,1.623,-0.026,-0.023,0.01,0.999,0.0,0.0,0.0,0.0,0.0,0.0,1.0,279
1,-0.698,0.942,-0.942,0.733,0.28,-0.483,1.625,-0.026,-0.023,0.01,0.999,0.0,0.0,0.0,0.0,0.0,0.0,1.0,285
0,-0.942,0.698,-0.942,0.733,0.235,-0.487,1.621,-0.027,-0.022,0.007,0.999,0.0,0.0,0.0,0.0,0.0,0.0,1.0,293
1,-0.698,0.942,-0.942,0.733,0.283,-0.486,1.623,-0.027,-0.022,0.007,0.999,0.0,0.0,0.0,0.0,0.0,0.0,1.0,300
0,-0.942,0.698,-0.942,0.733,0.238,-0.49,1.619,-0.03,-0.021,0.003,0.999,0.0,0.0,0.0,0.0,0.0,0.0,1.0,307
1,-0.698,0.942,-0.942,0.733,0.286,-0.49,1.621,-0.03,-0.021,0.003,0.999,0.0,0.0,0.0,0.0,0.0,0.0,1.0,314
0,-0.942,0.698,-0.942,0.733,0.241,-0.493,1.617,-0.033,-0.019,0.001,0.999,0.0,0.0,0.0,0.0,0.0,0.0,1.0,321
1,-0.698,0.942,-0.942,0.733,0.289,-0.493,1.618,-0.033,-0.019,0.001,0.999,0.0,0.0,0.0,0.0,0.0,0.0,1.0,327
